No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Will Bynum,PG,6-0,185,"January 4, 1983",us US,5,"Arizona, Georgia Tech"
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,7,
5,Austin Daye,SF,6-11,220,"June 5, 1988",us US,3,Gonzaga
1,Andre Drummond,C,6-11,279,"August 10, 1993",us US,R,UConn
24,Kim English,SG,6-6,200,"September 24, 1988",us US,R,Missouri
33,Jonas Jerebko,PF,6-10,231,"March 2, 1987",se SE,2,
7,Brandon Knight,PG,6-2,182,"December 2, 1991",us US,1,Kentucky
55,Viacheslav Kravtsov,C,7-0,260,"August 25, 1987",ua UA,R,
50,Corey Maggette,SF,6-6,218,"November 12, 1979",us US,13,Duke
54,Jason Maxiell,PF,6-7,260,"February 18, 1983",us US,7,Cincinnati
32,Khris Middleton,SG,6-7,222,"August 12, 1991",us US,R,Texas A&M
10,Greg Monroe,C,6-11,265,"June 4, 1990",us US,2,Georgetown
22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",us US,10,Kentucky
25,Kyle Singler,SF,6-8,228,"May 4, 1988",us US,R,Duke
3,Rodney Stuckey,SG,6-5,210,"April 21, 1986",us US,5,Eastern Washington
31,Charlie Villanueva,PF,6-11,232,"August 24, 1984",us US,7,UConn
