No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Leandro Barbosa,PG,6-3,194,"November 28, 1982",br BR,9,
30,Brandon Bass,PF,6-8,250,"April 30, 1985",us US,7,LSU
0,Avery Bradley,PG,6-3,180,"November 26, 1990",us US,2,Texas
98,Jason Collins,C,7-0,255,"December 2, 1978",us US,11,Stanford
27,Jordan Crawford,SG,6-4,195,"October 23, 1988",us US,2,"Indiana, Xavier"
5,Kevin Garnett,C,6-11,240,"May 19, 1976",us US,17,
8,Jeff Green,PF,6-8,235,"August 28, 1986",us US,4,Georgetown
43,Kris Joseph,SF,6-7,210,"December 17, 1988",ca CA,R,Syracuse
11,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,4,Western Kentucky
13,Fab Melo,C,7-0,255,"June 20, 1990",br BR,R,Syracuse
99,Darko Miličić,C,7-0,250,"June 20, 1985",rs RS,9,
34,Paul Pierce,SF,6-7,235,"October 13, 1977",us US,14,Kansas
42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",us US,5,Duke
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,6,Kentucky
7,Jared Sullinger,PF,6-9,260,"March 4, 1992",us US,R,Ohio State
4,Jason Terry,SG,6-2,185,"September 15, 1977",us US,13,Arizona
41,Jarvis Varnado,PF,6-9,230,"March 1, 1988",us US,R,Mississippi State
12,D.J. White,PF,6-9,251,"August 31, 1986",us US,4,Indiana
44,Chris Wilcox,C,6-10,221,"September 3, 1982",us US,10,Maryland
55,Terrence Williams,SF,6-6,220,"June 28, 1987",us US,3,Louisville
