Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,James Augustine,PF,23,ORL,25,0,149,4.3,8.2,.529,0.0,0.0,,4.3,8.2,.529,1.0,1.9,.500,3.9,3.4,7.2,0.5,1.2,0.5,1.4,4.3,9.7
24,Kelenna Azubuike,SG,24,GSW,81,17,1732,5.4,12.2,.445,1.5,4.1,.364,3.9,8.1,.485,2.1,2.9,.717,2.2,4.5,6.7,1.6,0.9,0.7,1.2,3.3,14.4
25,Renaldo Balkman,SF,23,NYK,65,0,952,3.4,7.0,.489,0.0,0.5,.083,3.4,6.6,.517,1.6,3.6,.432,3.1,5.0,8.2,1.5,1.7,1.1,1.4,5.0,8.5
26,Marcus Banks,PG,26,TOT,36,3,569,5.4,12.1,.450,2.5,6.5,.392,2.9,5.6,.517,1.7,2.2,.771,0.3,2.6,2.8,3.9,0.9,0.8,2.3,4.1,15.1
26,Marcus Banks,PG,26,PHO,24,1,310,5.1,12.7,.404,2.9,7.5,.385,2.2,5.1,.432,1.4,1.9,.750,0.3,2.0,2.3,2.9,0.9,0.9,1.9,4.4,14.5
26,Marcus Banks,PG,26,MIA,12,2,259,5.8,11.4,.512,2.1,5.1,.405,3.8,6.3,.600,2.1,2.6,.789,0.1,3.3,3.5,5.0,0.8,0.7,2.9,3.8,15.8
27,Leandro Barbosa,SG,25,PHO,82,12,2421,7.0,15.2,.462,2.4,6.3,.389,4.6,8.9,.514,2.6,3.2,.822,0.6,2.8,3.4,3.2,1.1,0.3,1.7,2.9,19.1
28,J.J. Barea,PG,23,DAL,44,9,460,5.6,13.3,.418,1.6,4.2,.389,3.9,9.1,.431,2.2,2.7,.800,0.3,3.4,3.7,4.5,1.1,0.1,2.7,3.8,14.9
29,Andrea Bargnani,PF,22,TOR,78,53,1861,5.4,14.0,.386,1.7,5.0,.345,3.7,9.0,.409,2.7,3.3,.840,1.0,4.6,5.6,1.7,0.4,0.7,1.7,4.1,15.3
30,Matt Barnes,PF,27,GSW,73,18,1414,4.8,11.3,.423,1.3,4.6,.293,3.4,6.6,.513,1.5,2.0,.747,2.4,5.9,8.2,3.5,1.2,0.9,2.2,4.0,12.4
