No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Hilton Armstrong,C,6-11,235,"November 11, 1984",us US,4,UConn
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,12,Arizona
34,Jason Collins,C,7-0,255,"December 2, 1978",us US,9,Stanford
11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us US,10,Michigan
55,Jordan Crawford,SG,6-4,195,"October 23, 1988",us US,R,"Indiana, Xavier"
1,Maurice Evans,SF,6-5,220,"November 8, 1978",us US,7,"Wichita State, Texas"
6,Kirk Hinrich,PG,6-4,190,"January 2, 1981",us US,7,Kansas
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,3,Florida
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,9,Arkansas
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,7,
12,Josh Powell,PF,6-9,225,"January 25, 1983",us US,5,NC State
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,6,
19,Pape Sy,SF,6-7,225,"April 5, 1988",fr FR,R,
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,1,Wake Forest
36,Etan Thomas,C,6-9,256,"April 1, 1978",us US,8,Syracuse
3,Damien Wilkins,SF,6-6,225,"January 11, 1980",us US,6,"NC State, Georgia"
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,5,UNC
