No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
6,Arron Afflalo,SG,6-5,210,"October 15, 1985",us US,4,UCLA
11,Chris Andersen,C,6-10,245,"July 7, 1978",us US,9,Blinn College
13,Corey Brewer,SF,6-9,186,"March 5, 1986",us US,4,Florida
0,DeMarre Carroll,PF,6-6,215,"July 27, 1986",us US,2,"Vanderbilt, Missouri"
21,Wilson Chandler,SF,6-8,235,"May 10, 1987",us US,4,DePaul
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",us US,R,Morehead State University
5,Rudy Fernández,SG,6-6,185,"April 4, 1985",es ES,3,
8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it IT,3,
1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",us US,R,Texas
7,Al Harrington,PF,6-9,230,"February 17, 1980",us US,13,
31,Nenê,C,6-11,250,"September 13, 1982",br BR,9,
41,Kosta Koufos,C,7-0,245,"February 24, 1989",us US,3,Ohio State
3,Ty Lawson,PG,5-11,195,"November 3, 1987",us US,2,UNC
34,JaVale McGee,C,7-0,270,"January 19, 1988",us US,3,Nevada
24,Andre Miller,SG,6-3,200,"March 19, 1976",us US,12,Utah
25,Timofey Mozgov,C,7-1,275,"July 16, 1986",ru RU,1,
10,Julyan Stone,SG,6-6,200,"December 7, 1988",us US,R,Texas-El Paso
