Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
152,Evan Fournier,SG,30,NYK,27,459,,55%,45%,,,-4.7,-8.9,11,7,19,3,5,3,88,0,4
153,De'Aaron Fox,PG,25,SAC,73,2435,100%,,,,,2.6,0.9,90,71,80,7,210,34,1103,52,53
154,Markelle Fultz,PG,24,ORL,60,1778,75%,25%,,,,-4.2,-2.5,73,33,60,19,56,7,835,19,40
155,Wenyen Gabriel,C,25,LAL,68,1024,,,,22%,78%,0.5,-0.1,11,8,86,21,41,4,91,16,18
156,Daniel Gafford,C,24,WAS,78,1604,,,,32%,68%,-2.1,-1.4,21,24,120,32,97,7,201,36,28
157,Darius Garland,PG,23,CLE,69,2447,97%,3%,,,,7.9,5.9,95,55,58,11,123,40,1214,25,54
158,Usman Garuba,C,20,HOU,75,970,,,,7%,93%,-11.1,-3.8,15,6,71,15,17,5,152,5,19
159,Luka Garza,C,24,MIN,28,243,,,,2%,98%,1.3,1.6,1,4,21,7,22,3,43,5,8
160,Rudy Gay,PF,36,UTA,56,816,,,23%,57%,20%,3.1,5.3,17,9,38,3,22,2,140,3,2
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
161,Paul George,SF,32,LAC,56,1939,,5%,69%,26%,1%,3.6,5.9,98,47,80,18,115,16,714,23,37
162,Taj Gibson,C,37,WAS,49,480,,,,18%,82%,-1.6,-0.4,7,5,39,8,17,5,82,4,8
163,Josh Giddey,PF,20,OKC,76,2367,,1%,17%,67%,15%,-2.7,-9.5,127,57,85,12,81,1,1119,31,83
164,Shai Gilgeous-Alexander,PG,24,OKC,68,2416,84%,17%,,,,3.1,4.9,84,64,78,30,322,15,942,57,97
165,Anthony Gill,PF,30,WAS,59,624,,,30%,66%,5%,0.2,1.8,8,3,44,2,30,8,81,8,10
166,Jacob Gilyard,PG,24,MEM,1,41,100%,,,,,-12.6,-16.3,2,0,2,0,0,0,17,0,0
167,Rudy Gobert,C,30,MIN,70,2148,,,,,100%,-0.3,-0.3,27,40,108,35,165,4,213,45,40
168,Jordan Goodwin,PG,24,WAS,62,1106,87%,13%,,,,-4.7,-4.8,34,12,48,2,34,12,399,9,27
169,Aaron Gordon,PF,27,DEN,68,2055,,,4%,88%,8%,12.1,18.4,39,29,82,16,147,10,474,31,64
170,Eric Gordon,SG,34,TOT,69,1965,18%,49%,33%,,,-5.3,0.9,56,24,47,8,72,8,429,20,31
170,Eric Gordon,SG,34,HOU,47,1418,11%,44%,45%,,,-7.1,1.8,46,19,25,5,55,6,320,14,24
170,Eric Gordon,SG,34,LAC,22,547,36%,62%,2%,,,-0.7,-1.6,10,5,22,3,17,2,109,6,7
171,Devonte' Graham,PG,27,TOT,73,1338,62%,38%,,,,-6.3,-4.2,32,13,43,5,50,13,444,8,12
171,Devonte' Graham,PG,27,NOP,53,811,54%,46%,,,,1.2,-1.1,17,4,26,3,25,5,265,4,7
171,Devonte' Graham,PG,27,SAS,20,527,75%,25%,,,,-17.8,-8.9,15,9,17,2,25,8,179,4,5
172,Jerami Grant,PF,28,POR,63,2246,,,4%,94%,2%,-0.9,6.4,36,40,76,24,161,25,371,39,52
173,RaiQuan Gray,PF,23,BRK,1,35,,,,35%,65%,-19.4,-20.9,2,1,3,0,1,0,16,0,0
174,A.J. Green,SG,23,MIL,35,345,17%,55%,28%,1%,,-4.4,-8.8,2,5,21,0,1,2,57,0,1
175,Danny Green,SG,35,TOT,11,138,,56%,39%,5%,,-6.4,-11.7,6,1,10,2,1,1,16,1,1
175,Danny Green,SG,35,MEM,3,43,,66%,34%,,,-4.7,-8.4,2,0,4,1,0,1,6,0,0
175,Danny Green,SG,35,CLE,8,95,,52%,41%,7%,,-7.2,-13.2,4,1,6,1,1,0,10,1,1
176,Draymond Green,PF,32,GSW,73,2297,,,1%,74%,25%,7.3,13.1,144,19,113,29,47,30,1218,13,20
177,Jalen Green,SG,20,HOU,76,2602,21%,79%,,,,-8.9,-1.8,94,73,73,13,203,14,644,43,105
178,JaMychal Green,PF,32,GSW,57,797,,,,30%,71%,-8.2,-12.6,16,12,55,17,36,5,130,9,14
179,Javonte Green,SF,29,CHI,32,480,,10%,61%,29%,,6.8,5.9,7,6,27,4,24,6,53,5,8
180,Jeff Green,PF,36,DEN,56,1091,,,8%,89%,3%,-8.1,-15.8,17,4,53,15,60,12,161,13,17
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
181,Josh Green,SG,22,DAL,60,1539,23%,49%,26%,2%,,2.5,3.7,33,23,66,10,50,36,262,14,23
182,AJ Griffin,SF,19,ATL,72,1401,,15%,74%,11%,,2.9,3.8,17,15,47,1,23,5,174,4,22
183,Blake Griffin,C,33,BOS,41,569,,,2%,23%,76%,8.3,2.0,5,2,35,10,13,17,157,4,5
184,Quentin Grimes,SG,22,NYK,71,2121,,65%,35%,,,4.7,3.3,30,14,93,7,44,15,351,13,20
185,Rui Hachimura,PF,24,TOT,63,1466,,,42%,55%,3%,-1.2,-1.1,15,20,34,13,57,2,139,14,40
185,Rui Hachimura,PF,24,WAS,30,728,,,56%,42%,3%,-4.5,-4.0,11,13,16,8,29,2,82,9,22
185,Rui Hachimura,PF,24,LAL,33,738,,,28%,68%,4%,2.0,1.8,4,7,18,5,28,0,57,5,18
186,Tyrese Haliburton,PG,22,IND,56,1883,87%,13%,,,,-1.3,4.1,84,32,35,6,86,7,1419,33,46
187,Jordan Hall,SF,21,SAS,9,83,11%,67%,23%,,,-14.0,-4.0,2,0,3,2,4,0,28,1,1
188,R.J. Hampton,SG,21,TOT,47,750,43%,43%,14%,,,-9.1,-3.7,19,6,28,7,37,1,135,8,14
188,R.J. Hampton,SG,21,ORL,26,361,85%,14%,1%,,,-4.1,-1.4,11,4,11,1,19,1,89,5,6
188,R.J. Hampton,SG,21,DET,21,389,4%,70%,26%,,,-13.7,-5.8,8,2,17,6,18,0,46,3,8
189,Tim Hardaway Jr.,SF,30,DAL,71,2152,,13%,72%,14%,,4.2,8.5,31,14,65,11,66,40,330,16,25
190,James Harden,PG,33,PHI,58,2135,100%,,,,,6.5,3.7,117,40,46,20,147,11,1429,36,50
191,Jaden Hardy,SG,20,DAL,48,708,41%,54%,4%,,,-3.3,-4.3,20,14,29,6,30,6,163,7,30
192,Ron Harper Jr.,PF,22,TOR,9,48,,,56%,44%,,16.8,15.9,0,0,3,0,1,0,9,1,1
193,Montrezl Harrell,C,29,PHI,57,681,,,,7%,93%,2.8,-2.4,13,11,50,9,53,14,80,17,19
194,Gary Harris,SG,28,ORL,48,1184,9%,79%,12%,,,-3.5,-1.0,11,4,43,3,12,6,145,3,14
195,Joe Harris,SF,31,BRK,74,1527,,4%,48%,42%,6%,-1.9,-5.1,26,3,76,7,11,4,242,3,22
196,Kevon Harris,SG,25,ORL,34,457,23%,67%,10%,,,0.2,3.4,10,6,32,3,19,2,37,8,10
197,Tobias Harris,SF,30,PHI,74,2436,,1%,74%,25%,,5.7,2.4,30,26,78,19,58,1,466,16,52
198,Shaquille Harrison,SG,29,POR,5,120,71%,29%,,,,5.0,8.9,5,0,6,0,8,2,76,2,2
199,Josh Hart,SF,27,TOT,76,2454,1%,14%,79%,6%,,6.0,12.0,74,20,94,9,85,20,717,26,40
199,Josh Hart,SF,27,POR,51,1704,1%,20%,77%,2%,,3.6,12.8,46,13,69,8,60,9,499,20,26
199,Josh Hart,SF,27,NYK,25,750,,,86%,15%,,11.5,10.3,28,7,25,1,25,11,218,6,14
200,Isaiah Hartenstein,C,24,NYK,82,1626,,,,,100%,4.5,2.3,33,7,113,17,33,6,242,13,17
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
201,Udonis Haslem,C,42,MIA,7,71,,,,29%,71%,-11.0,-11.1,0,1,7,0,2,5,0,1,0
202,Sam Hauser,SF,25,BOS,80,1290,,11%,57%,31%,,7.7,1.6,13,11,59,3,6,4,175,1,6
203,Jaxson Hayes,C,22,NOP,47,610,,,,46%,54%,-5.2,-8.7,17,2,37,8,39,3,92,8,8
204,Killian Hayes,PG,21,DET,76,2154,83%,17%,,,,-11.6,-6.8,111,38,111,5,36,28,1147,5,29
205,Gordon Hayward,SF,32,CHO,50,1577,,10%,81%,9%,,-3.2,4.4,45,24,36,11,82,4,495,25,19
206,Juancho Hernangómez,PF,27,TOR,42,614,,,,52%,49%,0.4,-0.9,3,5,25,4,8,5,66,2,5
207,Willy Hernangómez,C,28,NOP,38,458,,,,,100%,2.2,0.1,7,9,38,14,46,3,83,7,18
208,Tyler Herro,SG,23,MIA,67,2337,6%,81%,13%,,,2.6,6.8,88,32,58,13,77,2,680,16,52
209,Buddy Hield,SF,30,IND,80,2482,,21%,68%,12%,,-2.6,2.3,74,39,75,4,34,2,545,7,40
210,Haywood Highsmith,PF,26,MIA,54,969,,,26%,72%,2%,-3.5,-4.4,24,6,47,2,11,6,111,1,10
211,George Hill,PG-SG,36,TOT,46,834,72%,29%,,,,2.2,-0.4,20,9,32,4,12,14,262,1,8
211,George Hill,PG,36,MIL,35,668,77%,23%,,,,0.7,-3.5,16,8,23,3,8,14,212,1,7
211,George Hill,SG,36,IND,11,166,48%,52%,,,,8.3,12.2,4,1,9,1,4,0,50,0,1
212,Malcolm Hill,SF,27,CHI,5,9,,,35%,65%,,68.1,66.7,0,0,1,0,0,0,0,0,0
213,Aaron Holiday,PG,26,ATL,63,845,61%,39%,,,,1.9,1.8,20,6,40,3,13,15,214,5,16
214,Jrue Holiday,PG,32,MIL,67,2183,62%,37%,1%,,,9.3,12.8,124,48,55,14,69,21,1209,17,45
215,Justin Holiday,SF,33,TOT,46,706,,23%,65%,10%,3%,-7.5,-8.6,15,3,40,1,4,6,99,1,9
215,Justin Holiday,SF,33,ATL,28,411,,24%,70%,7%,,-5.9,-7.0,5,3,24,1,0,5,55,0,3
215,Justin Holiday,SF,33,DAL,18,295,,20%,58%,15%,6%,-9.7,-10.8,10,0,16,0,4,1,44,1,6
216,Richaun Holmes,C,29,SAC,42,348,,,,5%,95%,-11.4,-15.0,2,2,30,7,9,0,23,3,8
217,Al Horford,C,36,BOS,63,1922,,,,8%,92%,7.9,2.4,17,5,80,14,10,2,466,5,8
218,Talen Horton-Tucker,SG,22,UTA,65,1313,6%,46%,42%,6%,,-0.4,1.0,60,24,50,19,78,10,584,21,45
219,Danuel House Jr.,SF,29,PHI,56,807,,11%,81%,8%,,0.9,-4.9,11,4,39,5,30,11,104,6,4
220,Caleb Houstan,SF,20,ORL,51,812,2%,34%,53%,11%,1%,-5.5,-3.4,8,3,35,1,6,0,78,1,7
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
221,Trevor Hudgins,PG,23,HOU,5,28,100%,,,,,9.3,17.7,1,0,0,0,1,0,7,0,0
222,Kevin Huerter,SG,24,SAC,75,2203,1%,72%,26%,2%,,3.0,1.6,53,14,85,6,49,8,516,12,23
223,Jay Huff,C,24,WAS,7,95,,,,,100%,-4.5,-3.3,1,2,11,2,5,0,26,1,0
224,De'Andre Hunter,SF,25,ATL,67,2126,,,74%,26%,,-0.2,-1.5,20,33,97,13,99,33,225,20,47
225,Bones Hyland,PG,22,TOT,56,1085,97%,3%,,,,-4.7,-9.7,49,16,42,5,34,8,400,8,36
225,Bones Hyland,PG,22,DEN,42,820,96%,4%,,,,-8.6,-15.1,36,15,25,5,27,6,284,5,26
225,Bones Hyland,PG,22,LAC,14,265,100%,,,,,7.3,7.1,13,1,17,0,7,2,116,3,10
226,Serge Ibaka,C,33,MIL,16,185,,,,20%,80%,-9.5,-13.7,1,4,10,5,5,0,10,1,3
227,Andre Iguodala,PF,39,GSW,8,113,,,,95%,5%,15.2,13.8,7,1,8,1,1,2,47,1,0
228,Joe Ingles,SF,35,MIL,46,1044,,6%,53%,39%,2%,2.8,-1.1,39,7,35,2,5,10,348,1,5
229,Brandon Ingram,SF,25,NOP,45,1538,,72%,28%,1%,,3.1,1.6,62,42,61,21,117,11,654,29,36
230,Kyrie Irving,PG-SG,30,TOT,60,2241,72%,28%,,,,4.6,5.3,69,36,85,9,114,16,808,34,55
230,Kyrie Irving,PG,30,BRK,40,1478,89%,11%,,,,4.4,5.0,49,26,55,7,74,12,498,24,35
230,Kyrie Irving,SG,30,DAL,20,763,40%,60%,,,,4.9,5.8,20,10,30,2,40,4,310,10,20
231,Jonathan Isaac,PF,25,ORL,11,124,,,98%,2%,,-6.4,-3.7,0,2,2,0,5,0,15,1,2
232,Jaden Ivey,SG,20,DET,74,2304,27%,64%,8%,1%,,-13.4,-11.8,137,59,118,13,167,20,920,32,85
233,Frank Jackson,PG,24,UTA,1,5,100%,,,,,-37.5,-36.4,0,0,0,0,0,0,2,0,0
234,Isaiah Jackson,C,21,IND,63,1042,,,,22%,78%,-5.3,-2.5,13,8,72,24,70,4,121,17,29
235,Jaren Jackson Jr.,C,23,MEM,63,1787,,,,23%,77%,10.0,11.7,28,28,109,38,154,5,138,31,66
236,Justin Jackson,SF,27,BOS,23,107,,,77%,23%,,-29.3,-36.9,2,0,5,0,1,0,21,0,1
237,Quenton Jackson,PG,24,WAS,9,135,57%,43%,,,,-8.4,-7.4,1,1,5,0,8,6,37,2,3
238,Reggie Jackson,PG,32,TOT,68,1657,98%,2%,,,,-2.8,-5.1,65,17,52,17,34,9,566,12,16
238,Reggie Jackson,PG,32,LAC,52,1338,100%,,,,,-1.5,-3.3,53,14,44,16,31,9,450,12,15
238,Reggie Jackson,PG,32,DEN,16,319,88%,12%,,,,-8.2,-12.5,12,3,8,1,3,0,116,0,1
239,LeBron James,PF,38,LAL,55,1954,,,1%,93%,7%,5.1,8.8,107,36,37,27,170,9,870,60,47
240,Ty Jerome,SG,25,GSW,45,816,21%,61%,18%,,,-6.0,-9.8,16,7,30,2,23,5,340,8,9
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
241,Isaiah Joe,SG,23,OKC,73,1395,36%,54%,11%,,,4.8,5.6,23,13,55,1,36,34,216,8,11
242,Alize Johnson,PF,26,SAS,4,30,,21%,36%,31%,12%,23.1,33.5,0,2,1,1,1,1,3,0,0
243,Cameron Johnson,PF,26,TOT,42,1199,,,1%,88%,12%,6.7,6.1,17,13,42,3,49,11,187,16,26
243,Cameron Johnson,PF,26,PHO,17,429,,,2%,97%,1%,11.0,10.4,5,2,14,0,12,4,60,5,7
243,Cameron Johnson,PF,26,BRK,25,770,,,,82%,18%,4.2,3.7,12,11,28,3,37,7,127,11,19
244,Jalen Johnson,SF,21,ATL,70,1042,,,,99%,1%,0.2,-0.3,17,11,65,6,43,4,192,12,24
245,James Johnson,PF,35,IND,18,162,,,7%,64%,29%,-0.2,3.4,3,1,21,4,3,1,39,0,3
246,Keldon Johnson,SF,23,SAS,63,2063,2%,23%,64%,11%,,-11.7,-3.4,58,47,55,14,175,4,442,59,64
247,Keon Johnson,SG,20,POR,40,416,66%,33%,1%,,,-18.0,-16.1,23,8,20,2,18,4,144,3,9
248,Stanley Johnson,SF,26,SAS,30,469,,8%,40%,52%,1%,-7.4,3.0,23,5,26,3,19,1,158,7,9
249,Nikola Jokić,C,27,DEN,69,2323,,,,,100%,12.0,21.9,138,68,91,26,185,12,1564,64,49
250,Carlik Jones,PG,25,CHI,7,56,100%,,,,,23.4,22.2,1,1,0,0,3,0,13,0,2
251,Damian Jones,C,27,TOT,41,477,,,,7%,93%,-9.4,-9.5,8,2,32,10,13,2,39,1,11
251,Damian Jones,C,27,LAL,22,176,,,,,100%,-13.0,-14.2,5,0,11,3,8,0,12,0,6
251,Damian Jones,C,27,UTA,19,301,,,,11%,89%,-7.3,-6.7,3,2,21,7,5,2,27,1,5
252,Derrick Jones Jr.,PF,25,CHI,64,893,,,4%,86%,10%,7.4,7.5,6,8,38,9,41,5,85,11,19
253,Herbert Jones,PF,24,NOP,66,1951,,,22%,76%,2%,3.8,3.2,40,13,105,14,76,35,386,18,33
254,Kai Jones,C,22,CHO,46,550,,,,58%,42%,-2.7,3.5,5,5,38,11,16,1,38,8,8
255,Tre Jones,PG,23,SAS,68,1984,100%,,,,,-8.3,3.6,70,24,53,5,71,50,1076,20,41
256,Tyus Jones,PG,26,MEM,80,1940,78%,23%,,,,1.4,-4.2,57,10,14,4,29,11,1009,7,14
257,DeAndre Jordan,C,34,DEN,39,586,,,,,100%,-8.8,-14.1,20,7,38,16,24,0,81,6,6
258,Cory Joseph,PG,31,DET,62,1227,100%,,,,,-5.2,4.6,34,12,43,6,26,13,535,5,19
259,Nikola Jović,PF,19,MIA,15,204,,,,54%,46%,-3.4,-3.3,7,0,13,0,8,3,25,3,0
260,Johnny Juzang,SG,21,UTA,18,232,1%,76%,23%,1%,,-17.4,-17.4,0,2,7,1,2,1,18,0,2
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
261,Mfiondu Kabengele,PF,25,BOS,4,36,,,,83%,17%,-10.6,-17.4,0,0,0,1,0,0,0,0,0
262,Frank Kaminsky,C,29,TOT,36,235,,,,10%,91%,-2.1,-0.3,4,1,18,3,6,0,75,0,3
262,Frank Kaminsky,C,29,ATL,26,176,,,,,100%,-0.4,-0.9,4,1,17,3,4,0,48,0,2
262,Frank Kaminsky,C,29,HOU,10,59,,,,38%,62%,-7.1,1.2,0,0,1,0,2,0,27,0,1
263,Trevor Keels,SG,19,NYK,3,8,,,100%,,,-92.1,-95.5,0,0,0,0,0,0,0,0,0
264,Luke Kennard,SG,26,TOT,59,1315,18%,66%,16%,,,6.5,5.5,23,14,44,6,13,6,227,4,12
264,Luke Kennard,SG,26,LAC,35,725,18%,56%,26%,,,6.2,6.8,15,10,22,4,8,1,98,3,9
264,Luke Kennard,SG,26,MEM,24,590,17%,80%,3%,,,6.9,3.8,8,4,22,2,5,5,129,1,3
265,Walker Kessler,C,21,UTA,74,1703,,,,,100%,2.8,6.8,13,12,119,24,70,1,180,23,34
266,Braxton Key,SF,25,DET,3,9,,,,64%,36%,-15.0,-6.5,0,0,0,0,0,0,0,0,0
267,Louis King,PF,23,PHI,1,29,,,40%,60%,,5.4,0.7,0,1,2,1,1,0,5,1,0
268,Corey Kispert,SF,23,WAS,74,2093,,38%,58%,3%,,-3.4,-4.5,23,9,54,10,39,6,201,8,36
269,Maxi Kleber,PF,31,DAL,37,930,,,,64%,36%,-2.8,-3.9,10,7,62,5,13,7,138,2,5
270,Nathan Knight,C,25,MIN,38,291,,,,53%,47%,-2.8,-2.8,4,9,24,5,30,0,34,5,7
271,Kevin Knox,SF-PF,23,TOT,63,952,,1%,20%,68%,11%,-12.0,-5.8,11,20,55,6,25,1,78,5,12
271,Kevin Knox,SF,23,DET,42,593,,2%,27%,68%,4%,-7.2,1.5,7,10,40,5,13,1,34,3,5
271,Kevin Knox,PF,23,POR,21,359,,,9%,69%,22%,-20.0,-17.9,4,10,15,1,12,0,44,2,7
272,Christian Koloko,C,22,TOR,58,802,,,,,100%,8.5,9.2,5,4,83,10,25,2,72,3,20
273,John Konchar,SF,26,MEM,72,1494,,55%,44%,,,7.0,5.5,24,8,68,2,21,18,247,9,14
274,Furkan Korkmaz,SG,25,PHI,37,353,,74%,24%,1%,,1.0,-4.1,11,4,9,3,17,1,53,4,8
275,Luke Kornet,C,27,BOS,69,804,,,,,100%,4.6,-2.5,7,6,63,6,17,1,136,5,7
276,Vit Krejci,PG,22,ATL,29,165,30%,68%,2%,,,-0.6,-1.0,2,1,12,1,1,0,42,0,3
277,Jonathan Kuminga,PF,20,GSW,67,1394,,,2%,57%,42%,-1.4,-5.0,37,25,65,14,66,10,328,13,33
278,Kyle Kuzma,PF,27,WAS,64,2239,,,14%,81%,5%,0.2,3.4,65,52,76,35,120,8,574,29,59
279,Anthony Lamb,SF,25,GSW,62,1195,,1%,50%,49%,,1.0,-1.2,33,11,69,6,23,16,249,8,11
280,Jock Landale,C,27,PHO,69,979,,,,6%,94%,6.1,5.7,11,16,73,21,48,6,171,14,22
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
281,Romeo Langford,SG,23,SAS,43,844,3%,57%,39%,1%,,-8.9,1.6,14,9,33,2,28,20,118,6,13
282,Jake LaRavia,PF,21,MEM,35,414,,,19%,61%,20%,-6.9,-11.7,7,4,24,1,5,3,51,1,4
283,Zach LaVine,SG,27,CHI,77,2768,25%,43%,32%,1%,,0.4,-4.0,86,63,94,16,211,4,769,51,78
284,A.J. Lawson,SG,22,TOT,15,108,2%,36%,48%,15%,,-18.2,-18.9,2,0,7,0,5,1,5,2,3
284,A.J. Lawson,SG,22,MIN,1,2,,1%,99%,,,-90.0,-89.9,0,0,0,0,0,0,0,0,0
284,A.J. Lawson,SG,22,DAL,14,106,2%,36%,47%,15%,,-16.8,-17.6,2,0,7,0,5,1,5,2,3
285,Damion Lee,SG,30,PHO,74,1506,5%,57%,36%,2%,,1.3,-0.8,24,23,55,11,29,20,239,5,14
286,Saben Lee,PG,23,TOT,25,373,99%,1%,,,,-2.8,-5.2,17,4,14,2,25,8,155,3,13
286,Saben Lee,PG,23,PHI,2,10,100%,,,,,26.3,21.6,2,1,1,0,0,0,4,0,0
286,Saben Lee,PG,23,PHO,23,363,99%,1%,,,,-3.6,-6.0,15,3,13,2,25,8,151,3,13
287,Alex Len,C,29,SAC,26,161,,,,,100%,5.9,3.8,6,4,13,5,6,0,31,0,1
288,Kawhi Leonard,SF,31,LAC,52,1748,1%,45%,46%,9%,,5.9,9.3,34,29,44,7,123,4,515,33,25
289,Meyers Leonard,C,30,MIL,9,114,,,,,100%,-11.5,-15.6,2,0,9,4,4,0,2,1,2
290,Caris LeVert,SG,28,CLE,74,2237,2%,60%,38%,1%,,4.7,-2.2,73,24,87,7,79,30,667,16,32
291,Kira Lewis Jr.,PG,21,NOP,25,235,88%,12%,,,,11.0,9.4,5,3,10,1,9,0,54,2,9
292,Damian Lillard,PG,32,POR,58,2107,100%,,,,,2.2,12.8,139,29,54,8,200,23,1009,43,43
293,Nassir Little,SF,22,POR,54,976,1%,21%,56%,22%,,-8.6,-6.6,15,11,37,7,22,4,122,6,19
294,Isaiah Livers,PF,24,DET,52,1199,,,17%,78%,5%,-8.3,0.3,12,5,62,3,15,7,99,2,7
295,Kenneth Lofton Jr.,PF,20,MEM,24,176,,,,45%,55%,-14.0,-18.4,3,3,12,5,15,0,51,5,4
296,Kevon Looney,C,26,GSW,82,1958,,,,,100%,5.1,6.4,15,7,125,19,77,2,526,19,34
297,Brook Lopez,C,34,MIL,78,2373,,,,,100%,8.0,11.0,28,14,134,36,104,2,243,42,26
298,Robin Lopez,C,34,CLE,37,299,,,,,100%,-9.3,-16.2,7,4,25,7,8,4,50,4,7
299,Kevin Love,PF,34,TOT,62,1240,,,,89%,11%,3.4,-0.5,44,8,61,11,29,35,258,6,8
299,Kevin Love,PF,34,CLE,41,821,,,1%,93%,6%,3.5,-2.8,28,6,35,8,18,18,169,6,5
299,Kevin Love,PF,34,MIA,21,419,,,,80%,20%,3.2,3.9,16,2,26,3,11,17,89,0,3
300,Kyle Lowry,PG,36,MIA,55,1718,100%,,,,,1.3,2.7,70,16,69,4,56,29,656,18,24
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
301,Trey Lyles,PF,27,SAC,74,1247,,,,60%,40%,3.5,1.8,34,7,56,10,55,11,160,14,21
302,Théo Maledon,PG,21,CHO,44,854,100%,,,,,-8.1,-2.9,37,11,34,2,30,5,359,9,15
303,Sandro Mamukelashvili,C,23,TOT,43,660,,,,23%,77%,-9.8,-4.6,16,9,31,5,27,6,150,5,14
303,Sandro Mamukelashvili,C,23,MIL,24,217,,,,26%,74%,-1.0,-4.9,3,3,11,2,7,1,40,0,4
303,Sandro Mamukelashvili,C,23,SAS,19,443,,,,22%,79%,-14.1,-4.5,13,6,20,3,20,5,110,5,10
304,Terance Mann,SG,26,LAC,81,1872,18%,46%,33%,4%,,1.3,1.3,38,21,56,14,61,18,447,16,33
305,Tre Mann,PG,21,OKC,67,1183,100%,,,,,0.7,-0.7,26,19,55,5,28,8,297,9,16
306,Boban Marjanović,C,34,HOU,31,171,,,,,100%,16.7,26.1,3,7,6,1,14,0,20,7,3
307,Lauri Markkanen,PF,25,UTA,66,2273,,,20%,62%,18%,3.2,10.0,31,53,64,35,169,9,319,45,65
308,Naji Marshall,SF,25,NOP,77,1792,,22%,65%,13%,,1.1,-1.9,56,15,63,10,82,5,445,24,39
309,Caleb Martin,SF,27,MIA,71,2077,2%,34%,62%,3%,,0.9,2.4,30,19,71,12,48,30,295,10,26
310,Cody Martin,SF,27,CHO,7,134,,41%,59%,,,-7.6,-1.9,2,0,10,0,5,1,28,3,4
311,KJ Martin,SF,22,HOU,82,2292,,1%,87%,13%,,-8.4,-0.2,33,23,75,18,119,6,306,30,53
312,Tyrese Martin,SG,23,ATL,16,66,,6%,72%,22%,,0.8,0.4,0,2,1,0,1,0,5,0,2
313,Garrison Mathews,SG,26,TOT,54,686,,33%,66%,1%,,-5.6,1.9,8,2,27,3,18,26,63,2,2
313,Garrison Mathews,SG,26,HOU,45,602,,29%,71%,,,-6.4,2.3,8,1,26,3,15,23,57,2,2
313,Garrison Mathews,SG,26,ATL,9,84,,66%,26%,8%,,-0.2,-0.7,0,1,1,0,3,3,6,0,0
314,Bennedict Mathurin,SG,20,IND,78,2222,1%,65%,34%,,,-4.5,-2.5,56,49,67,30,218,10,288,52,83
315,Wesley Matthews,SF,36,MIL,52,820,1%,29%,56%,13%,1%,4.8,1.5,7,4,36,5,10,9,86,0,2
316,Tyrese Maxey,SG,22,PHI,60,2016,47%,53%,,,,5.7,1.9,36,13,55,15,109,10,506,33,38
317,Skylar Mays,PG,25,POR,6,189,100%,,,,,-16.2,-13.1,5,3,8,1,6,1,116,2,8
318,Miles McBride,PG,22,NYK,64,760,91%,9%,,,,5.5,2.9,13,5,33,2,14,12,178,2,11
319,Mac McClung,SG,24,PHI,2,41,100%,,,,,20.0,15.4,1,2,1,0,3,1,22,1,1
320,CJ McCollum,PG,31,NOP,75,2649,69%,31%,,,,0.9,-3.5,102,38,81,17,107,9,1002,27,60
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
321,T.J. McConnell,PG,30,IND,75,1526,100%,,,,,-2.4,1.6,89,33,46,2,31,30,960,16,17
322,Jaden McDaniels,SF,22,MIN,79,2416,,7%,73%,20%,,1.6,4.4,47,26,131,16,75,15,351,23,29
