Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
36,Malik Beasley,SG,26,TOT,81,2093,17%,51%,31%,2%,,-2.8,-3.2,48,29,56,6,26,6,302,10,26
36,Malik Beasley,SG,26,UTA,55,1472,15%,41%,42%,3%,,-3.3,-3.4,31,18,40,4,16,6,226,5,20
36,Malik Beasley,SG,26,LAL,26,621,23%,73%,4%,,,-1.8,-2.8,17,11,16,2,10,0,76,5,6
37,MarJon Beauchamp,SF,22,MIL,52,701,1%,41%,52%,6%,,-5.6,-11.2,16,11,37,7,18,3,91,2,17
38,Dāvis Bertāns,PF,30,DAL,45,492,,,4%,73%,24%,-3.4,-4.2,7,1,26,2,5,3,48,1,3
39,Patrick Beverley,SG-PG,34,TOT,67,1816,47%,45%,9%,,,-1.1,-2.9,32,7,84,6,21,26,453,5,12
39,Patrick Beverley,SG,34,LAL,45,1211,20%,67%,13%,,,-2.1,-3.8,24,4,51,4,16,18,286,4,9
39,Patrick Beverley,PG,34,CHI,22,605,100%,,,,,0.7,-1.0,8,3,33,2,5,8,167,1,3
40,Saddiq Bey,SF,23,TOT,77,2129,,10%,76%,13%,1%,-3.4,3.1,19,14,44,12,121,3,282,27,55
40,Saddiq Bey,SF,23,DET,52,1500,,11%,79%,9%,1%,-7.9,1.0,14,12,29,9,105,2,205,22,41
40,Saddiq Bey,SF,23,ATL,25,629,,7%,69%,24%,,7.4,8.2,5,2,15,3,16,1,77,5,14
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
41,Khem Birch,C,30,TOR,20,162,,,,,100%,3.6,2.5,1,1,8,6,2,1,18,1,1
42,Goga Bitadze,C,23,TOT,38,457,,,,,100%,2.1,5.5,7,8,31,6,17,1,94,4,11
42,Goga Bitadze,C,23,IND,21,202,,,,,100%,3.1,6.8,2,5,16,4,10,0,44,2,5
42,Goga Bitadze,C,23,ORL,17,255,,,,,100%,1.4,4.4,5,3,15,2,7,1,50,2,6
43,Bismack Biyombo,C,30,PHO,61,874,,,,1%,99%,3.8,2.5,10,12,68,20,33,4,126,12,11
44,Buddy Boeheim,SF,23,DET,10,90,,3%,25%,72%,,1.6,10.3,0,0,2,0,1,0,11,0,0
45,Bogdan Bogdanović,SG,30,ATL,54,1508,,69%,32%,,,1.8,2.1,39,17,44,2,31,3,343,2,13
46,Bojan Bogdanović,PF,33,DET,59,1893,,1%,44%,53%,2%,-8.5,0.0,60,52,49,11,93,6,377,20,79
47,Bol Bol,PF,23,ORL,70,1505,,,1%,82%,18%,-4.4,-2.5,36,47,50,8,55,3,164,16,19
48,Leandro Bolmaro,SF,22,UTA,14,68,,,91%,9%,,-0.1,1.0,5,1,7,0,0,4,17,0,1
49,Devin Booker,SG,26,PHO,53,1835,,47%,50%,3%,,5.5,7.0,75,40,74,17,156,14,715,50,43
50,Brandon Boston Jr.,SF,21,LAC,22,248,1%,71%,26%,3%,,-10.6,-12.0,2,6,10,1,16,4,46,6,11
51,Chris Boucher,PF,30,TOR,76,1523,,5%,47%,45%,3%,-0.7,-3.0,7,17,95,8,75,18,65,19,35
52,James Bouknight,SG,22,CHO,34,515,9%,89%,3%,,,-7.9,-2.4,8,12,26,3,14,4,101,2,13
53,Jamaree Bouyea,PG,23,TOT,5,71,100%,,,,,-13.6,-13.6,0,2,2,1,1,0,8,0,1
53,Jamaree Bouyea,PG,23,MIA,4,65,100%,,,,,-18.3,-18.3,0,2,2,1,1,0,8,0,1
53,Jamaree Bouyea,PG,23,WAS,1,6,100%,,,,,36.4,37.7,0,0,0,0,0,0,0,0,0
54,Tony Bradley,C,25,CHI,12,33,,,,,100%,13.3,11.8,0,0,1,1,0,0,2,0,0
55,Malaki Branham,SG,19,SAS,66,1550,55%,41%,4%,,,-10.6,-0.8,46,16,76,2,35,6,288,8,40
56,Jarrell Brantley,PF,26,UTA,4,39,,13%,54%,33%,,17.8,19.1,1,1,2,0,1,0,7,0,0
57,Christian Braun,SG,21,DEN,76,1181,14%,58%,27%,1%,,-3.2,-9.2,9,8,51,5,31,4,145,10,25
58,Mikal Bridges,SF-SG,26,TOT,83,2963,1%,38%,51%,10%,,0.8,-1.5,73,37,92,6,159,28,662,43,54
58,Mikal Bridges,SF,26,PHO,56,2040,,19%,66%,15%,,0.9,-2.0,46,21,65,5,82,24,490,23,35
58,Mikal Bridges,SG,26,BRK,27,923,2%,80%,17%,1%,,0.8,-0.6,27,16,27,1,77,4,172,20,19
59,Oshae Brissett,PF,24,IND,65,1083,,1%,5%,92%,3%,0.1,4.8,13,8,40,7,64,6,109,6,22
60,Malcolm Brogdon,PG,30,BOS,67,1744,52%,47%,1%,,,5.1,-2.7,42,34,49,7,78,18,616,14,50
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
61,Dillon Brooks,SF,27,MEM,73,2214,,20%,75%,5%,,4.3,1.7,43,27,104,15,70,23,451,18,38
62,Bruce Brown,SF,26,DEN,80,2280,,32%,64%,3%,,0.9,-5.6,56,37,106,12,75,11,631,23,37
63,Greg Brown III,PF,21,POR,16,93,,,44%,49%,7%,-2.5,1.2,2,1,6,0,6,0,7,2,4
64,Jaylen Brown,SF,26,BOS,67,2405,,39%,58%,3%,,5.1,-3.9,61,68,70,27,171,9,599,47,74
65,Kendall Brown,SG,19,IND,6,40,,54%,46%,,,6.4,9.9,0,0,3,0,1,0,8,0,1
66,Moses Brown,C,23,TOT,36,294,,,,,100%,3.8,3.5,2,3,21,5,29,1,9,8,11
66,Moses Brown,C,23,LAC,34,288,,,,,100%,4.8,4.5,2,3,20,5,29,1,9,8,11
66,Moses Brown,C,23,BRK,2,6,,,,,100%,-43.3,-44.6,0,0,1,0,0,0,0,0,0
67,Sterling Brown,SF,27,LAL,4,24,,,65%,35%,,-3.0,-3.6,0,0,3,0,0,0,4,0,1
68,Troy Brown Jr.,SF,23,LAL,76,1860,,2%,70%,28%,,-0.9,-2.7,27,10,65,5,18,12,226,5,30
69,Jalen Brunson,PG,26,NYK,68,2379,100%,,,,,2.4,-1.9,75,39,70,18,169,77,1036,50,51
70,Thomas Bryant,C,25,TOT,59,1081,,,,3%,97%,-4.2,-6.1,13,7,68,11,65,3,77,18,32
70,Thomas Bryant,C,25,LAL,41,876,,,,4%,96%,-2.2,-3.6,10,6,54,8,59,3,73,16,28
70,Thomas Bryant,C,25,DEN,18,205,,,,,100%,-12.8,-17.0,3,1,14,3,6,0,4,2,4
71,Reggie Bullock,SF,31,DAL,78,2364,,2%,45%,51%,2%,-1.7,-4.7,22,1,86,8,3,7,272,1,9
72,Alec Burks,SG,31,DET,51,1122,2%,84%,13%,1%,,-1.0,10.6,24,15,54,7,72,18,270,16,14
73,Deonte Burton,PF,29,SAC,2,6,,,12%,88%,,35.7,33.5,0,0,0,0,0,1,0,0,1
74,Jared Butler,PG,22,OKC,6,77,1%,99%,,,,-1.3,-2.5,4,1,4,0,0,1,20,0,4
75,Jimmy Butler,PF,33,MIA,64,2138,,,15%,83%,3%,1.4,3.5,54,24,32,10,245,12,835,61,53
76,John Butler,C,20,POR,19,221,,,,,100%,-15.7,-12.7,1,0,18,0,3,0,25,2,2
