No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Tariq Abdul-Wahad,SG,6-6,223,"November 3, 1974",fr FR,4,"Michigan, San Jose State"
15,Chris Andersen,C,6-10,245,"July 7, 1978",us US,R,Blinn College
30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr PR,R,Florida International University
27,Mengke Bateer,C,6-11,290,"November 20, 1975",cn CN,R,
32,Ryan Bowen,SF,6-7,215,"November 20, 1975",us US,2,Iowa
29,Calbert Cheaney,SG,6-7,209,"July 17, 1971",us US,8,Indiana
25,Zendon Hamilton,PF,6-11,250,"April 27, 1975",us US,1,St. John's
10,Tim Hardaway,PG,6-0,175,"September 1, 1966",us US,11,Texas-El Paso
1,Donnell Harvey,PF,6-8,220,"August 26, 1980",us US,1,Florida
7,Juwan Howard,PF,6-9,240,"February 7, 1973",us US,7,Michigan
6,Avery Johnson,PG,5-10,175,"March 25, 1965",us US,13,"Cameron University, Southern University and A&M College"
45,Raef LaFrentz,C,6-11,240,"May 29, 1976",us US,3,Kansas
5,Voshon Lenard,SG,6-4,205,"May 14, 1973",us US,6,Minnesota
21,George McCloud,SF,6-6,205,"May 27, 1967",us US,11,Florida State
24,Antonio McDyess,PF,6-9,220,"September 7, 1974",us US,6,Alabama
41,James Posey,SF,6-8,215,"January 13, 1977",us US,2,Xavier
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,8,UNLV
11,Kenny Satterfield,PG,6-2,186,"April 10, 1981",us US,R,Cincinnati
36,Shawnelle Scott,C,6-10,250,"June 16, 1972",us US,3,St. John's
31,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,8,"Trinity Valley CC, Cincinnati"
42,Scott Williams,PF,6-10,230,"March 21, 1968",us US,11,UNC
