No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Trevor Ariza,SG,6-8,215,"June 30, 1985",us US,2,UCLA
30,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr PR,5,Florida International University
40,James Augustine,PF,6-10,235,"February 27, 1984",us US,R,Illinois
4,Tony Battie,PF,6-11,230,"February 11, 1976",us US,9,Texas Tech
10,Keith Bogans,SG,6-5,215,"May 12, 1980",us US,3,Kentucky
34,Travis Diener,PG,6-1,175,"March 1, 1982",us US,1,Marquette
5,Keyon Dooling,SG,6-3,196,"May 8, 1980",us US,6,Missouri
8,Pat Garrity,PF,6-9,238,"August 23, 1976",us US,8,Notre Dame
33,Grant Hill,SG,6-8,225,"October 5, 1972",us US,11,Duke
12,Dwight Howard,C,6-10,265,"December 8, 1985",us US,2,
31,Darko Miličić,PF,7-0,250,"June 20, 1985",rs RS,3,
14,Jameer Nelson,PG,6-0,190,"February 9, 1982",us US,2,Saint Joseph's
45,Bo Outlaw,PF,6-8,210,"April 13, 1971",us US,13,"South Plains College, Houston"
7,JJ Redick,PG,6-3,200,"June 24, 1984",us US,R,Duke
15,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr TR,6,
