Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
24,Mengke Bateer,C,27,SAS,12,46,.235,12.9,,.824,.235,.176,.176,.235,.176,,.214,.500,.000,.000,.250,.333,,.333,.000,,.000,0,,.333,.000,,0,0
25,Mike Batiste,PF,25,MEM,75,1248,.422,12.1,,.827,.313,.113,.146,.255,.173,,.464,.664,.321,.397,.319,.222,,.709,.889,,.077,34,,.370,.333,,1,0
26,Tony Battie,C,26,BOS,67,1683,.539,8.6,,.986,.404,.157,.236,.190,.014,,.544,.792,.345,.379,.386,.200,,.798,1.000,,.182,67,,.200,.000,,1,0
27,Shane Battier,SF,24,MEM,78,2383,.483,14.5,,.620,.251,.077,.120,.172,.380,,.535,.622,.545,.397,.500,.398,,.577,.988,,.025,13,,.565,.443,,1,0
28,Lonny Baxter,C,24,CHI,55,682,.466,3.8,,.990,.626,.233,.107,.024,.010,,.471,.574,.271,.273,.600,.000,,.625,,,.073,15,,.000,,,0,0
29,Raja Bell,SG,26,DAL,75,1173,.441,15.3,,.758,.213,.071,.076,.398,.242,,.450,.667,.267,.438,.369,.412,,.764,1.000,,.038,7,,.647,.424,,1,0
30,Jonathan Bender,SF,22,IND,46,819,.441,12.8,,.791,.260,.134,.150,.248,.209,,.463,.636,.412,.421,.333,.358,,.656,1.000,,.091,20,,.302,.250,,0,0
31,Corey Benjamin,SG,24,ATL,9,152,.302,10.8,,.698,.395,.163,.070,.070,.302,,.367,.529,.143,.000,.333,.154,,.545,1.000,,.116,4,,.462,.167,,0,0
32,Travis Best,PG,30,MIA,72,1807,.396,14.2,,.813,.240,.065,.123,.384,.187,,.411,.514,.447,.361,.357,.330,,.149,.694,,.000,0,,.092,.300,,2,0
33,Mike Bibby,PG,24,SAC,55,1835,.470,14.8,,.804,.207,.089,.091,.417,.196,,.485,.628,.435,.422,.438,.409,,.579,.946,,.001,1,,.467,.422,,2,0
34,Chauncey Billups*,PG,26,DET,74,2327,.421,17.0,,.563,.205,.048,.092,.218,.437,,.443,.489,.405,.463,.400,.392,,.240,.557,,.000,0,,.200,.500,,1,0
35,Corie Blount,C,34,CHI,50,836,.485,9.9,,1.000,.321,.104,.336,.239,.000,,.485,.535,.143,.378,.719,,,.831,,,.060,8,,,,,0,0
36,Mark Blount,C,27,TOT,81,1403,.432,7.5,,1.000,.386,.242,.196,.176,.000,,.432,.575,.333,.397,.295,,,.760,,,.078,23,,,,,0,0
36,Mark Blount,C,27,DEN,54,885,.393,8.0,,1.000,.348,.243,.202,.206,.000,,.393,.505,.292,.444,.273,,,.762,,,.056,12,,,,,0,0
36,Mark Blount,C,27,BOS,27,518,.563,5.8,,1.000,.513,.238,.175,.075,.000,,.563,.732,.474,.214,.500,,,.756,,,.150,11,,,,,0,0
37,Calvin Booth,C,26,SEA,47,575,.437,9.9,,.983,.311,.185,.202,.286,.017,,.444,.595,.455,.583,.176,.000,,.769,,,.092,10,,.000,,,0,0
38,Carlos Boozer,PF,21,CLE,81,2049,.536,6.7,,.998,.511,.146,.168,.173,.002,,.536,.661,.333,.471,.402,.000,,.668,,,.125,66,,1.000,.000,,0,0
39,Ruben Boumtje-Boumtje,C,24,POR,2,5,.000,9.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0
40,Bruce Bowen,SF,31,SAS,82,2566,.466,16.0,,.522,.190,.104,.071,.157,.478,,.488,.637,.360,.412,.427,.441,,.713,1.000,,.017,6,,.795,.473,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
41,Ryan Bowen,SG,27,DEN,62,996,.492,7.8,,.964,.528,.081,.066,.289,.036,,.500,.567,.375,.385,.439,.286,,.737,1.000,,.015,3,,.286,.000,,0,0
42,Earl Boykins,PG,26,GSW,68,1321,.429,13.6,,.834,.123,.203,.246,.263,.166,,.439,.579,.426,.474,.352,.377,,.294,.724,,.000,0,,.221,.412,,0,0
43,Michael Bradley,PF,23,TOR,67,1314,.481,5.4,,.981,.583,.169,.159,.070,.019,,.487,.617,.340,.260,.273,.167,,.427,1.000,,.064,19,,.333,.500,,2,0
44,Shawn Bradley,C,30,DAL,81,1731,.536,6.5,,.997,.472,.229,.101,.195,.003,,.537,.701,.477,.289,.342,.000,,.687,,,.112,39,,.000,,,1,0
45,Elton Brand,PF,23,LAC,62,2454,.502,6.2,,.999,.415,.296,.224,.065,.001,,.502,.657,.410,.388,.328,.000,,.599,,,.078,68,,.000,,,0,0
46,J.R. Bremer,PG,22,BOS,64,1503,.369,18.8,,.384,.172,.047,.041,.123,.616,,.393,.388,.364,.421,.404,.353,,.343,.723,,.000,0,,.171,.286,,1,0
47,Jamison Brewer,PG,22,IND,10,80,.529,4.1,,.882,.765,.118,.000,.000,.118,,.600,.615,.500,,,.000,,.667,,,.118,1,,.500,.000,,0,0
48,Primož Brezec,C,23,IND,22,111,.395,9.6,,.974,.316,.263,.184,.211,.026,,.405,.667,.400,.429,.000,.000,,.333,,,.053,2,,.000,,,0,0
49,Damone Brown,PF,23,TOR,5,115,.314,12.6,,.943,.200,.114,.200,.429,.057,,.333,.571,.250,.286,.267,.000,,.727,,,.029,1,,.500,.000,,0,0
50,Devin Brown,SG,24,TOT,10,93,.343,11.8,,.971,.286,.114,.086,.486,.029,,.353,.600,.000,.333,.294,.000,,.583,,,.000,0,,1.000,.000,,0,0
50,Devin Brown,SG,24,SAS,7,22,.500,8.8,,1.000,.400,.100,.200,.300,.000,,.500,.750,.000,.500,.333,,,.400,,,.000,0,,,,,0,0
50,Devin Brown,SG,24,DEN,3,71,.280,12.9,,.960,.240,.120,.040,.560,.040,,.292,.500,.000,.000,.286,.000,,.714,,,.000,0,,1.000,.000,,0,0
51,Kedrick Brown,SF,21,BOS,51,666,.357,12.2,,.772,.333,.129,.088,.222,.228,,.439,.649,.182,.467,.263,.077,,.638,1.000,,.076,12,,.667,.077,,1,0
52,Kwame Brown,C,20,WAS,80,1773,.446,6.5,,.994,.376,.325,.237,.056,.006,,.449,.614,.319,.412,.250,.000,,.585,,,.112,53,,.000,,,0,0
53,P.J. Brown,PF,33,NOH,78,2609,.531,8.4,,.995,.348,.176,.283,.188,.005,,.533,.593,.434,.518,.540,.000,,.724,,,.050,28,,.000,,,0,0
54,Randy Brown,PG,34,PHO,32,262,.372,12.8,,1.000,.209,.023,.279,.488,.000,,.372,.333,1.000,.333,.381,,,.875,,,.000,0,,,,,0,0
55,Tierre Brown,PG,23,CLE,15,168,.458,7.9,,.983,.407,.271,.136,.169,.017,,.466,.708,.250,.375,.300,.000,,.185,,,.000,0,,.000,,,0,0
56,Rick Brunson,PG,30,CHI,17,196,.460,15.8,,.880,.160,.040,.100,.580,.120,,.432,.500,.500,.600,.379,.667,,.579,1.000,,.000,0,,.500,.667,,0,0
57,Kobe Bryant*,SG,24,LAL,82,3401,.451,13.9,,.832,.215,.106,.189,.322,.168,,.465,.642,.426,.361,.421,.383,,.364,.613,,.063,116,,.096,.355,,6,0
58,Mark Bryant,PF,37,TOT,16,100,.263,11.3,,1.000,.105,.158,.526,.211,.000,,.263,.500,.333,.300,.000,,,.800,,,.053,1,,,,,0,0
58,Mark Bryant,PF,37,PHI,11,77,.294,11.3,,1.000,.118,.118,.529,.235,.000,,.294,.500,.500,.333,.000,,,.800,,,.059,1,,,,,0,0
58,Mark Bryant,PF,37,DEN,3,14,.000,15.9,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0
58,Mark Bryant,PF,37,BOS,2,9,.000,8.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0
59,Greg Buckner,SG,26,PHI,75,1514,.465,10.0,,.862,.379,.153,.141,.188,.138,,.496,.642,.459,.286,.387,.273,,.659,.933,,.005,2,,.473,.269,,1,0
60,Pat Burke,C,29,ORL,62,783,.382,10.9,,.976,.334,.145,.084,.412,.024,,.388,.505,.395,.440,.279,.143,,.696,.000,,.041,11,,.143,1.000,,1,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
61,Caron Butler,SF,22,MIA,78,2858,.416,10.5,,.896,.354,.147,.154,.241,.104,,.427,.548,.362,.302,.369,.318,,.471,.824,,.065,54,,.271,.345,,6,0
62,Rasual Butler,SG,23,MIA,72,1514,.362,15.7,,.701,.154,.084,.187,.276,.299,,.392,.466,.375,.383,.361,.292,,.446,.840,,.028,12,,.333,.351,,0,0
63,Jason Caffey,PF,29,MIL,51,894,.456,5.5,,1.000,.484,.258,.169,.089,.000,,.456,.592,.375,.310,.227,,,.611,,,.125,30,,,,,0,0
