Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
119,Marcus Fizer,PF,24,CHI,38,809,.465,6.6,,.984,.439,.251,.183,.112,.016,,.469,.571,.469,.314,.326,.167,,.525,1.000,,.065,23,,.333,.500,,0,0
120,Alton Ford,PF,21,PHO,11,31,.333,10.5,,1.000,.222,.111,.444,.222,.000,,.333,.500,.000,.500,.000,,,.667,,,.000,0,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
121,Joseph Forte,SG,21,SEA,17,86,.286,11.9,,.914,.086,.400,.171,.257,.086,,.313,.333,.357,.333,.222,.000,,.500,,,.000,0,,.000,,,0,0
122,Danny Fortson,PF,26,GSW,17,223,.370,7.5,,.981,.296,.407,.130,.148,.019,,.377,.563,.273,.286,.375,.000,,.550,,,.000,0,,.000,,,0,0
123,Greg Foster,C,34,TOR,29,539,.385,12.6,,.967,.172,.148,.262,.385,.033,,.390,.524,.333,.500,.277,.250,,.696,1.000,,.008,0,,.500,.000,,0,0
124,Jeff Foster,C,26,IND,77,802,.360,8.3,,.989,.427,.163,.202,.197,.011,,.364,.526,.172,.222,.314,.000,,.563,,,.090,16,,.000,,,1,0
125,Tremaine Fowlkes,SF,26,LAC,37,573,.438,10.8,,.930,.383,.063,.133,.352,.070,,.454,.571,.125,.412,.400,.222,,.778,1.000,,.141,15,,.444,.250,,1,0
126,Rick Fox,SF,33,LAL,76,2181,.422,16.4,,.549,.196,.064,.140,.148,.451,,.460,.615,.350,.368,.391,.375,,.688,.962,,.008,5,,.300,.393,,0,0
127,Adonal Foyle,C,27,GSW,82,1787,.536,4.6,,.997,.455,.383,.116,.043,.003,,.538,.656,.424,.550,.267,.000,,.605,,,.128,42,,.000,,,0,0
128,Steve Francis,PG,25,HOU,81,3318,.435,12.2,,.817,.372,.060,.078,.307,.183,,.453,.574,.278,.294,.382,.354,,.241,.588,,.040,49,,.154,.486,,7,0
129,Lawrence Funderburke,PF,32,SAC,27,229,.444,8.8,,1.000,.389,.139,.181,.292,.000,,.444,.607,.500,.231,.333,,,.594,,,.097,4,,,,,0,0
130,Dan Gadzuric,C,24,MIL,49,760,.483,4.5,,.993,.545,.290,.117,.041,.007,,.486,.671,.190,.412,.333,.000,,.514,,,.193,27,,.000,,,1,0
131,Kevin Garnett*,PF,26,MIN,82,3321,.502,11.3,,.952,.217,.203,.250,.282,.048,,.513,.707,.399,.495,.462,.282,,.591,.700,,.070,101,,.042,.333,,2,0
132,Pat Garrity,PF,26,ORL,81,2584,.419,20.6,,.453,.066,.027,.044,.316,.547,,.448,.551,.400,.455,.430,.396,,.868,.988,,.008,4,,.152,.387,,0,0
133,Pau Gasol*,PF,22,MEM,82,2948,.510,6.5,,.991,.383,.342,.150,.116,.009,,.514,.677,.435,.383,.377,.100,,.570,1.000,,.153,156,,.400,.000,,1,0
134,Devean George,SF,25,LAL,71,1613,.390,14.8,,.714,.230,.089,.095,.299,.286,,.398,.594,.244,.295,.326,.371,,.756,.939,,.067,26,,.295,.385,,1,0
135,Kendall Gill,SG,34,MIN,82,2068,.422,13.7,,.913,.260,.047,.095,.511,.087,,.432,.545,.406,.359,.390,.322,,.745,.947,,.015,10,,.627,.405,,1,0
136,Manu Ginóbili*,SG,25,SAS,69,1431,.438,12.6,,.627,.343,.154,.068,.063,.373,,.494,.647,.295,.370,.280,.345,,.431,.902,,.045,17,,.318,.277,,2,0
137,Gordan Giriček,SG-SF,25,TOT,76,2148,.436,14.5,,.690,.227,.117,.120,.227,.310,,.478,.610,.489,.354,.407,.341,,.566,.976,,.011,9,,.422,.362,,0,0
137,Gordan Giriček,SG,25,MEM,49,1187,.433,14.6,,.728,.207,.123,.130,.268,.272,,.463,.616,.492,.339,.391,.354,,.565,.978,,.008,4,,.408,.358,,0,0
137,Gordan Giriček,SF,25,ORL,27,961,.440,14.3,,.634,.255,.108,.105,.166,.366,,.505,.602,.486,.382,.444,.328,,.567,.974,,.015,5,,.437,.365,,0,0
138,Dion Glover,SG,24,ATL,76,1890,.427,12.2,,.756,.369,.059,.108,.221,.244,,.451,.515,.263,.357,.441,.354,,.502,.857,,.029,19,,.253,.450,,1,0
139,Anthony Goldwire,PG,31,TOT,15,85,.360,16.5,,.640,.200,.000,.120,.320,.360,,.375,.400,,.333,.375,.333,,.333,1.000,,.000,0,,.222,.000,,0,0
139,Anthony Goldwire,PG,31,SAS,10,51,.278,17.8,,.556,.167,.000,.056,.333,.444,,.300,.333,,.000,.333,.250,,.667,1.000,,.000,0,,.250,.000,,0,0
139,Anthony Goldwire,PG,31,WAS,5,34,.571,12.9,,.857,.286,.000,.286,.286,.143,,.500,.500,,.500,.500,1.000,,.000,1.000,,.000,0,,.000,,,0,0
140,Drew Gooden,SF-PF,21,TOT,70,1873,.457,9.2,,.938,.311,.259,.187,.181,.062,,.468,.574,.408,.434,.404,.292,,.595,1.000,,.040,28,,.125,.333,,0,0
140,Drew Gooden,SF,21,MEM,51,1329,.443,10.1,,.920,.267,.267,.175,.210,.080,,.455,.565,.409,.426,.397,.304,,.598,1.000,,.028,15,,.130,.333,,0,0
140,Drew Gooden,PF,21,ORL,19,544,.498,6.7,,.990,.438,.234,.219,.100,.010,,.503,.591,.404,.455,.450,.000,,.590,,,.075,13,,.000,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
141,Brian Grant,C,30,MIA,82,2641,.509,9.2,,1.000,.362,.139,.180,.318,.000,,.509,.657,.415,.393,.447,,,.747,,,.065,36,,,,,0,0
142,Horace Grant,PF,37,ORL,5,85,.520,15.8,,1.000,.080,.080,.080,.760,.000,,.520,1.000,.000,1.000,.474,,,1.000,,,.000,0,,,,,0,0
143,Adrian Griffin,SG,28,DAL,74,1373,.433,12.9,,.929,.190,.184,.134,.421,.071,,.447,.594,.435,.311,.430,.250,,.650,1.000,,.012,4,,.542,.308,,1,0
144,Eddie Griffin,PF,20,HOU,77,1890,.400,14.1,,.717,.193,.155,.190,.178,.283,,.426,.641,.400,.357,.289,.333,,.565,.969,,.035,24,,.031,.167,,0,0
145,Tom Gugliotta,PF,33,PHO,27,447,.455,13.8,,.992,.152,.091,.250,.500,.008,,.458,.550,.500,.545,.379,.000,,.783,,,.023,2,,.000,,,0,0
146,A.J. Guyton,PG,24,GSW,2,9,.000,26.5,,.750,.000,.250,.000,.500,.250,,.000,,.000,,.000,.000,,,,,.000,0,,.000,,,1,0
147,Marcus Haislip,PF,22,MIL,39,441,.431,9.5,,.922,.353,.163,.209,.196,.078,,.447,.574,.360,.406,.333,.250,,.698,1.000,,.131,16,,.583,.143,,0,0
148,Darvin Ham,SG,29,ATL,75,926,.447,6.2,,.981,.579,.107,.119,.176,.019,,.455,.565,.176,.263,.393,.000,,.634,,,.208,30,,.000,,,1,0
149,Richard Hamilton,SG,24,DET,82,2640,.443,12.3,,.907,.254,.085,.233,.335,.093,,.461,.587,.358,.437,.408,.269,,.546,.938,,.021,25,,.370,.341,,0,0
150,Zendon Hamilton,C,27,TOR,3,12,.400,0.0,,1.000,1.000,.000,.000,.000,.000,,.400,.400,,,,,,.000,,,.000,0,,,,,0,0
151,Anfernee Hardaway,SG,31,PHO,58,1777,.447,13.1,,.873,.215,.126,.190,.342,.127,,.460,.593,.347,.431,.434,.356,,.543,.923,,.009,4,,.192,.429,,0,0
152,Tim Hardaway*,PG,36,IND,10,127,.367,20.9,,.367,.122,.041,.000,.204,.633,,.389,.667,.500,,.200,.355,,.714,.636,,.000,0,,.097,.000,,0,0
153,Matt Harpring,SF,26,UTA,78,2557,.511,11.0,,.843,.378,.083,.111,.271,.157,,.529,.705,.259,.416,.413,.413,,.820,.985,,.010,10,,.363,.414,,0,0
154,Adam Harrington,SG,22,TOT,19,111,.297,17.0,,.622,.216,.054,.000,.351,.378,,.261,.250,.000,,.308,.357,,.833,1.000,,.027,0,,.143,.500,,0,0
154,Adam Harrington,SG,22,DAL,13,37,.235,15.5,,.824,.235,.059,.000,.529,.176,,.214,.000,.000,,.333,.333,,.667,1.000,,.000,0,,.000,,,0,0
154,Adam Harrington,SG,22,DEN,6,74,.350,18.2,,.450,.200,.050,.000,.200,.550,,.333,.500,.000,,.250,.364,,1.000,1.000,,.050,0,,.182,.500,,0,0
155,Al Harrington,SF,22,IND,82,2467,.434,10.5,,.949,.310,.126,.287,.225,.051,,.442,.550,.274,.409,.431,.283,,.532,1.000,,.038,31,,.348,.438,,2,0
156,Junior Harrington,PG,22,DEN,82,2003,.362,14.7,,.940,.148,.131,.122,.540,.060,,.369,.420,.262,.368,.381,.250,,.599,1.000,,.015,7,,.214,.333,,2,0
157,Othella Harrington,PF,29,NYK,74,1850,.508,6.2,,1.000,.397,.312,.181,.111,.000,,.508,.619,.514,.463,.163,,,.689,,,.018,8,,,,,0,0
158,Lucious Harris,SG,32,NJN,77,1973,.413,15.3,,.811,.200,.053,.108,.451,.189,,.429,.597,.289,.333,.394,.346,,.701,.915,,.003,2,,.228,.581,,2,0
159,Antonio Harvey,PF,32,ATL,4,32,.400,4.5,,1.000,.400,.600,.000,.000,.000,,.400,1.000,.000,,,,,1.000,,,.200,1,,,,,0,0
160,Donnell Harvey,SF,22,DEN,77,1613,.446,6.3,,.987,.432,.318,.089,.149,.013,,.450,.571,.360,.449,.293,.143,,.604,1.000,,.118,59,,.429,.333,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
161,Trenton Hassell,SG,23,CHI,82,1999,.367,13.3,,.898,.173,.161,.209,.355,.102,,.372,.515,.381,.317,.331,.325,,.534,1.000,,.008,3,,.325,.154,,0,0
162,Kirk Haston,SF,23,NOH,12,57,.118,18.6,,.824,.059,.000,.235,.529,.176,,.143,.000,,.500,.000,.000,,.500,,,.000,0,,.333,.000,,0,0
163,Juaquin Hawkins,SG,29,HOU,58,685,.385,15.5,,.838,.196,.068,.068,.507,.162,,.379,.552,.100,.200,.373,.417,,.872,1.000,,.027,3,,.458,.364,,0,0
164,Brendan Haywood,C,23,WAS,81,1930,.510,4.0,,1.000,.605,.224,.150,.021,.000,,.510,.668,.197,.373,.286,,,.543,,,.257,83,,,,,0,0
165,Alan Henderson,C,30,ATL,82,1494,.468,6.3,,.994,.450,.248,.187,.110,.006,,.471,.667,.272,.361,.306,.000,,.595,,,.076,24,,.000,,,0,0
166,Nenê,C,20,DEN,80,2258,.519,3.9,,.995,.617,.236,.057,.086,.005,,.521,.649,.342,.343,.208,.000,,.629,,,.233,131,,.000,,,1,0
167,Grant Hill*,SF,30,ORL,29,843,.492,9.5,,.987,.345,.130,.228,.283,.013,,.495,.670,.500,.386,.368,.250,,.333,1.000,,.026,8,,.000,,,1,0
168,Tyrone Hill,PF,34,TOT,56,1351,.422,6.9,,1.000,.451,.160,.245,.144,.000,,.422,.536,.224,.400,.318,,,.636,,,.029,7,,,,,0,0
168,Tyrone Hill,PF,34,CLE,32,855,.431,8.5,,1.000,.350,.173,.274,.203,.000,,.431,.565,.235,.463,.325,,,.624,,,.010,1,,,,,0,0
168,Tyrone Hill,PF,34,PHI,24,496,.404,4.2,,1.000,.633,.138,.193,.037,.000,,.404,.507,.200,.238,.250,,,.659,,,.064,6,,,,,0,0
169,Fred Hoiberg,SG,30,CHI,63,784,.389,15.1,,.833,.230,.063,.040,.500,.167,,.419,.552,.500,.000,.381,.238,,.818,1.000,,.032,4,,.143,.333,,0,0
170,Robert Horry,PF,32,LAL,80,2343,.387,14.1,,.628,.279,.097,.122,.130,.372,,.445,.602,.304,.345,.306,.288,,.579,.941,,.078,34,,.271,.208,,0,0
171,Eddie House,SG,24,MIA,55,1025,.387,17.8,,.730,.088,.043,.140,.459,.270,,.420,.641,.421,.371,.392,.300,,.699,.778,,.000,0,,.400,.354,,2,0
172,Allan Houston,SG,31,NYK,82,3108,.445,17.4,,.693,.066,.084,.213,.330,.307,,.467,.381,.488,.490,.464,.396,,.397,.848,,.003,3,,.236,.453,,4,0
173,Juwan Howard,PF,29,DEN,77,2730,.450,10.6,,.997,.206,.217,.277,.297,.003,,.449,.604,.369,.421,.428,.500,,.687,.500,,.042,44,,.000,,,1,0
174,Troy Hudson,PG,26,MIN,79,2600,.428,16.2,,.722,.188,.051,.089,.393,.278,,.452,.533,.286,.435,.439,.365,,.410,.753,,.001,1,,.128,.235,,2,1
175,Nate Huffman,C,27,TOR,7,76,.360,3.2,,1.000,.640,.320,.040,.000,.000,,.360,.438,.250,.000,,,,.667,,,.160,4,,,,,0,0
176,Larry Hughes,PG,24,WAS,67,2137,.467,12.6,,.893,.246,.132,.174,.341,.107,,.479,.648,.306,.395,.466,.367,,.562,.897,,.031,21,,.165,.462,,1,0
177,Ryan Humphrey,PF,23,TOT,48,444,.292,5.6,,1.000,.467,.292,.125,.117,.000,,.292,.375,.200,.400,.071,,,.600,,,.058,6,,,,,0,0
177,Ryan Humphrey,PF,23,ORL,35,322,.271,4.8,,1.000,.506,.294,.129,.071,.000,,.271,.349,.200,.273,.000,,,.478,,,.071,5,,,,,0,0
177,Ryan Humphrey,PF,23,MEM,13,122,.343,7.7,,1.000,.371,.286,.114,.229,.000,,.343,.462,.200,.750,.125,,,.833,,,.029,1,,,,,0,0
178,Lindsey Hunter,PG,32,TOR,29,673,.351,16.0,,.646,.195,.079,.099,.272,.354,,.369,.492,.208,.333,.341,.318,,.319,.882,,.000,0,,.215,.304,,0,0
179,Steven Hunter,C,21,ORL,33,447,.544,3.0,,1.000,.689,.204,.087,.019,.000,,.544,.606,.333,.556,.500,,,.643,,,.194,18,,,,,0,0
180,Zydrunas Ilgauskas,C,27,CLE,81,2432,.441,8.6,,.996,.285,.277,.289,.143,.004,,.443,.575,.395,.383,.398,.000,,.600,,,.054,57,,.200,.000,,2,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
181,Allen Iverson*,SG,27,PHI,82,3485,.414,13.0,,.844,.280,.077,.151,.335,.156,,.440,.537,.380,.341,.417,.277,,.385,.786,,.005,10,,.125,.237,,1,1
182,Bobby Jackson,PG,29,SAC,59,1676,.464,14.3,,.679,.292,.061,.079,.246,.321,,.505,.650,.333,.362,.422,.379,,.522,.742,,.001,1,,.485,.395,,3,0
183,Jermaine Jackson,SG,26,TOT,53,559,.364,12.1,,.909,.373,.082,.109,.345,.091,,.390,.537,.222,.333,.289,.100,,.410,1.000,,.018,2,,.200,.000,,4,0
183,Jermaine Jackson,SG,26,TOR,24,286,.309,12.7,,.868,.353,.118,.118,.279,.132,,.339,.458,.125,.500,.211,.111,,.300,1.000,,.015,1,,.222,.000,,3,0
183,Jermaine Jackson,SG,26,ATL,29,273,.452,11.1,,.976,.405,.024,.095,.452,.024,,.463,.647,1.000,.000,.368,.000,,.526,,,.024,1,,.000,,,1,0
184,Jim Jackson,SF,32,SAC,63,1309,.442,12.0,,.846,.284,.165,.134,.264,.154,,.440,.557,.434,.371,.352,.451,,.488,.906,,.011,4,,.606,.558,,3,0
185,Marc Jackson,C,28,MIN,77,1041,.438,9.3,,.997,.350,.183,.143,.321,.003,,.437,.631,.391,.320,.304,1.000,,.757,.000,,.054,19,,.000,,,0,0
186,Mark Jackson,PG,37,UTA,82,1467,.398,14.3,,.743,.211,.176,.144,.211,.257,,.438,.577,.338,.472,.359,.284,,.483,.778,,.000,0,,.074,.286,,7,1
187,Stephen Jackson,SG,24,SAS,80,2254,.435,13.4,,.637,.356,.066,.064,.152,.363,,.501,.612,.333,.365,.371,.320,,.590,.884,,.077,54,,.374,.324,,0,0
188,Casey Jacobsen,SF,21,PHO,72,1147,.373,15.6,,.495,.287,.040,.049,.119,.505,,.432,.500,.231,.438,.333,.315,,.571,.962,,.012,4,,.455,.387,,1,0
189,Jerome James,C,27,SEA,51,766,.478,5.3,,1.000,.362,.478,.125,.034,.000,,.478,.702,.360,.345,.250,,,.477,,,.159,31,,,,,0,0
190,Mike James,PG,27,MIA,78,1722,.373,15.6,,.610,.248,.080,.051,.231,.390,,.423,.538,.319,.433,.333,.294,,.245,.672,,.003,2,,.193,.318,,2,0
191,Antawn Jamison,SF,26,GSW,82,3226,.470,12.0,,.858,.173,.300,.141,.243,.142,,.496,.732,.482,.404,.399,.311,,.669,.985,,.024,36,,.373,.359,,1,0
192,Marko Jarić,SF,24,LAC,66,1379,.401,14.4,,.628,.316,.074,.063,.175,.372,,.450,.489,.303,.321,.487,.319,,.373,.887,,.022,10,,.193,.375,,3,0
193,Chris Jefferies,SF,22,TOR,51,666,.387,15.0,,.722,.232,.088,.026,.376,.278,,.407,.489,.118,.400,.425,.333,,.667,1.000,,.015,2,,.204,.182,,0,0
194,Richard Jefferson,SF,22,NJN,80,2879,.501,8.9,,.974,.436,.127,.097,.314,.026,,.507,.657,.388,.341,.399,.250,,.673,.833,,.138,111,,.292,.143,,0,0
195,Jared Jeffries,SF,21,WAS,20,292,.476,7.5,,.905,.540,.159,.063,.143,.095,,.474,.559,.400,.250,.333,.500,,.556,1.000,,.111,7,,.167,.000,,0,0
196,Anthony Johnson,PG,28,NJN,66,842,.446,12.6,,.848,.242,.143,.147,.316,.152,,.459,.661,.424,.412,.342,.371,,.456,.923,,.035,7,,.143,.400,,0,0
197,Avery Johnson,PG,37,DAL,48,430,.420,6.8,,.987,.493,.187,.113,.193,.013,,.426,.459,.393,.412,.379,.000,,.302,,,.000,0,,.000,,,0,0
198,Ervin Johnson,C,35,MIL,69,1170,.452,4.1,,1.000,.585,.222,.170,.022,.000,,.452,.506,.467,.304,.000,,,.590,,,.059,6,,,,,0,0
199,Joe Johnson,SG,21,PHO,82,2255,.397,14.9,,.742,.178,.103,.161,.300,.258,,.408,.472,.402,.414,.368,.366,,.444,.987,,.010,6,,.561,.400,,1,0
200,Ken Johnson,C,24,MIA,16,156,.405,10.4,,1.000,.135,.324,.405,.135,.000,,.405,.400,.583,.333,.200,,,.733,,,.027,1,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
201,Damon Jones,PG,26,SAC,49,709,.381,19.5,,.424,.114,.033,.057,.219,.576,,.404,.542,.571,.417,.304,.364,,.417,.864,,.000,0,,.380,.435,,0,0
202,Eddie Jones,SG,31,MIA,47,1789,.423,15.3,,.650,.202,.087,.148,.212,.350,,.432,.504,.367,.422,.397,.407,,.358,.939,,.016,10,,.357,.465,,3,0
203,Fred Jones,SG,23,IND,19,115,.375,12.0,,.708,.375,.125,.042,.167,.292,,.412,.556,.333,.000,.250,.286,,.571,.500,,.042,1,,.286,.000,,0,0
204,Jumaine Jones,SF,23,CLE,80,2204,.434,17.0,,.558,.177,.041,.120,.220,.442,,.497,.698,.241,.459,.404,.354,,.736,.946,,.051,33,,.589,.411,,2,0
205,Popeye Jones,PF,32,DAL,26,222,.387,8.2,,1.000,.339,.242,.177,.242,.000,,.387,.476,.467,.364,.200,,,.667,,,.000,0,,,,,0,0
206,Michael Jordan*,SF,39,WAS,82,3031,.445,13.8,,.964,.138,.088,.303,.435,.036,,.450,.614,.363,.439,.424,.291,,.508,.875,,.014,21,,.127,.429,,0,0
207,Shawn Kemp,C,33,ORL,79,1633,.418,9.4,,.998,.444,.050,.103,.402,.002,,.419,.482,.240,.269,.409,.000,,.739,,,.034,15,,1.000,.000,,0,0
208,Steve Kerr,PG,37,SAS,75,952,.430,20.5,,.516,.012,.051,.133,.320,.484,,.462,.667,.385,.559,.427,.395,,.475,.918,,.000,0,,.218,.444,,1,0
209,Jason Kidd*,PG,29,NJN,80,2989,.414,14.9,,.703,.239,.051,.132,.281,.297,,.445,.576,.429,.366,.374,.341,,.360,.833,,.002,2,,.184,.309,,3,0
210,Andrei Kirilenko,SF,21,UTA,80,2213,.491,9.9,,.822,.483,.051,.073,.215,.178,,.527,.690,.182,.213,.348,.325,,.683,.892,,.176,109,,.228,.308,,2,0
211,Kerry Kittles,SG,28,NJN,65,1951,.467,13.7,,.692,.321,.069,.059,.243,.308,,.516,.693,.306,.381,.376,.356,,.776,.949,,.068,44,,.110,.667,,0,0
212,Brevin Knight,PG,27,MEM,55,928,.425,13.3,,.965,.237,.096,.127,.504,.035,,.432,.519,.364,.345,.426,.250,,.516,.500,,.000,0,,.125,.000,,0,0
213,Travis Knight,C,28,NYK,32,287,.385,12.2,,.985,.308,.046,.062,.569,.015,,.391,.550,.667,.000,.324,.000,,.680,,,.046,1,,.000,,,0,0
214,Toni Kukoč*,PF,34,MIL,63,1704,.432,15.3,,.544,.281,.092,.052,.120,.456,,.490,.611,.472,.233,.333,.361,,.416,.947,,.009,5,,.175,.326,,3,0
215,Christian Laettner,PF,33,WAS,76,2215,.494,12.5,,.969,.244,.095,.184,.446,.031,,.506,.667,.224,.547,.461,.125,,.794,1.000,,.014,7,,.188,.000,,1,0
216,Raef LaFrentz,C,26,DAL,69,1611,.518,10.3,,.774,.473,.060,.043,.198,.226,,.550,.646,.323,.318,.441,.405,,.795,1.000,,.111,54,,.336,.410,,0,0
217,Sean Lampley,SF,23,MIA,35,487,.434,6.7,,.969,.434,.279,.132,.124,.031,,.448,.607,.278,.529,.188,.000,,.429,,,.124,15,,.250,.000,,0,0
218,Dan Langhi,SF,25,PHO,60,541,.401,16.0,,.847,.153,.020,.158,.515,.153,,.421,.452,.250,.313,.452,.290,,.750,1.000,,.010,2,,.419,.385,,0,0
219,Voshon Lenard,SG,29,TOR,63,1929,.402,16.4,,.689,.147,.067,.150,.325,.311,,.418,.613,.333,.347,.380,.365,,.549,.935,,.001,1,,.440,.405,,0,0
220,Rashard Lewis,SF,23,SEA,77,3044,.452,12.2,,.811,.207,.245,.158,.201,.189,,.476,.655,.472,.425,.338,.346,,.640,.947,,.054,57,,.465,.287,,3,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
221,Randy Livingston,PG,27,NOH,2,12,.500,9.1,,1.000,.500,.000,.250,.250,.000,,.500,.500,,.000,1.000,,,1.000,,,.000,0,,,,,0,0
222,Art Long,PF,30,TOT,26,211,.373,7.6,,.960,.413,.240,.133,.173,.040,,.361,.484,.222,.400,.231,.667,,.692,.500,,.040,3,,.000,,,0,0
222,Art Long,PF,30,PHI,19,131,.380,6.9,,.980,.460,.200,.180,.140,.020,,.367,.478,.300,.333,.143,1.000,,.722,.000,,.040,2,,.000,,,0,0
222,Art Long,PF,30,TOR,7,80,.360,9.1,,.920,.320,.320,.040,.240,.080,,.348,.500,.125,1.000,.333,.500,,.625,1.000,,.040,1,,.000,,,0,0
223,Grant Long,PF,36,BOS,41,488,.386,14.2,,.957,.171,.129,.114,.543,.043,,.403,.667,.333,.375,.342,.000,,.889,,,.014,1,,.333,.000,,1,0
224,Tyronn Lue,PG,25,WAS,75,1986,.433,16.9,,.693,.119,.070,.176,.328,.307,,.474,.588,.375,.455,.463,.341,,.340,.900,,.002,1,,.159,.393,,0,0
225,George Lynch,SG,32,NOH,81,1497,.409,10.9,,.780,.404,.086,.114,.175,.220,,.425,.503,.290,.293,.397,.354,,.664,.857,,.031,11,,.506,.475,,1,0
226,Todd MacCulloch,C,27,PHI,42,812,.517,2.8,,1.000,.681,.252,.063,.004,.000,,.517,.599,.400,.133,.000,,,.732,,,.063,15,,,,,0,0
227,Tito Maddox,SG,21,HOU,9,35,.250,10.1,,.750,.417,.250,.000,.083,.250,,.333,.400,.000,,1.000,.000,,.333,,,.000,0,,.000,,,0,0
228,Mark Madsen,PF,27,LAL,54,781,.423,4.3,,1.000,.577,.270,.086,.067,.000,,.423,.511,.341,.286,.182,,,.594,,,.117,17,,,,,0,0
229,Corey Maggette,SG,23,LAC,64,2006,.444,13.1,,.771,.336,.078,.057,.300,.229,,.471,.646,.283,.250,.366,.350,,.623,.855,,.078,57,,.136,.250,,1,0
230,Jamaal Magloire,C,24,NOH,82,2443,.480,4.4,,.995,.515,.331,.118,.031,.005,,.483,.618,.367,.293,.200,.000,,.607,,,.181,101,,.333,.000,,2,0
231,Karl Malone*,PF,39,UTA,81,2936,.462,11.6,,.989,.249,.117,.196,.427,.011,,.464,.664,.411,.365,.408,.214,,.809,1.000,,.016,20,,.000,,,0,0
232,Matt Maloney,PG,31,ATL,14,103,.320,22.3,,.400,.000,.000,.080,.320,.600,,.300,,,.000,.375,.333,,.000,.800,,.000,0,,.333,.400,,0,0
233,Danny Manning,PF,36,DET,13,89,.406,12.9,,.750,.313,.063,.188,.188,.250,,.417,.600,.500,.000,.500,.375,,.700,.667,,.000,0,,.500,.250,,0,0
234,Stephon Marbury,PG,25,PHO,81,3240,.439,11.6,,.807,.354,.124,.108,.220,.193,,.472,.550,.447,.345,.421,.301,,.294,.404,,.002,3,,.078,.217,,4,0
235,Shawn Marion,SF,24,PHO,81,3373,.452,13.5,,.752,.207,.139,.205,.200,.248,,.473,.651,.397,.405,.410,.387,,.589,1.000,,.070,98,,.470,.427,,2,0
236,Sean Marks,PF,27,MIA,23,223,.373,12.2,,.983,.271,.068,.169,.475,.017,,.379,.563,.250,.300,.321,.000,,.909,,,.085,5,,1.000,.000,,0,0
237,Donny Marshall,SF,30,NJN,3,6,.000,19.9,,.667,.000,.000,.333,.333,.333,,.000,,,.000,.000,.000,,,,,.000,0,,.000,,,0,0
238,Donyell Marshall,PF,29,CHI,78,2378,.459,7.5,,.905,.472,.218,.095,.121,.095,,.467,.582,.355,.287,.360,.379,,.698,.970,,.078,65,,.402,.371,,0,0
239,Kenyon Martin,PF,25,NJN,77,2628,.470,7.6,,.960,.409,.258,.127,.166,.040,,.481,.664,.384,.336,.294,.209,,.660,.889,,.170,170,,.233,.200,,2,0
240,Jamal Mashburn,SF,30,NOH,82,3321,.422,14.2,,.807,.146,.125,.281,.256,.193,,.430,.558,.444,.438,.342,.389,,.374,.891,,.013,20,,.193,.407,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
241,Anthony Mason,C,36,MIL,65,2119,.486,7.1,,.997,.336,.280,.308,.074,.003,,.487,.561,.500,.364,.621,.000,,.586,,,.000,0,,1.000,.000,,0,0
