No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Arron Afflalo,SG,6-5,210,"October 15, 1985",us US,10,UCLA
0,Jamel Artis,SG,6-7,213,"January 12, 1993",us US,R,Pitt
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,9,Texas
24,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,R,"Pitt, UNLV"
11,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,6,
10,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,5,
0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,3,Arizona
8,Mario Hezonja,SF,6-8,220,"February 25, 1995",hr HR,2,
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,R,Florida State
25,Wes Iwundu,SF,6-6,195,"December 20, 1994",us US,R,Kansas State
7,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,6,Butler
33,Adreian Payne,PF,6-10,237,"February 19, 1991",us US,3,Michigan State
2,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,3,Louisiana
15,Rodney Purvis,SG,6-4,205,"February 14, 1994",us US,R,UConn
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,5,Washington
17,Jonathon Simmons,SG,6-6,195,"September 14, 1989",us US,2,Houston
5,Marreese Speights,C,6-10,255,"August 4, 1987",us US,9,Florida
20,Rashad Vaughn,SG,6-6,202,"August 16, 1996",us US,2,UNLV
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch CH,6,USC
