Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
262,Keyontae Johnson,SF,23,OKC,9,0,66,3.6,11.7,.313,0.7,2.2,.333,2.9,9.5,.308,0.0,0.0,,2.9,4.4,7.3,2.9,0.7,0.0,2.9,3.6,8.0,,78,118
263,Nikola Jokić,C,28,DEN,79,79,2737,14.9,25.6,.583,1.5,4.2,.359,13.4,21.4,.626,6.5,7.9,.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,,131,108
264,Colby Jones,SG,21,SAC,30,0,192,7.1,18.0,.394,0.5,5.6,.091,6.6,12.4,.531,1.5,2.8,.545,4.3,5.8,10.1,5.1,1.8,1.3,2.5,7.3,16.2,,97,115
265,Damian Jones,C,28,CLE,39,0,270,7.9,13.2,.597,0.5,2.6,.214,7.3,10.6,.690,3.3,3.8,.857,3.7,7.7,11.3,2.7,1.3,2.4,2.4,4.9,19.6,,125,111
266,Derrick Jones Jr.,SF,26,DAL,76,66,1783,6.4,13.3,.483,2.2,6.4,.343,4.2,6.9,.613,2.6,3.7,.713,2.2,4.5,6.7,2.0,1.4,1.4,1.7,3.3,17.7,,116,116
267,Herbert Jones,SF,25,NOP,76,76,2321,6.2,12.4,.498,2.4,5.8,.418,3.8,6.7,.568,2.9,3.3,.867,1.6,4.2,5.7,4.2,2.2,1.3,2.0,4.7,17.7,,124,113
268,Mason Jones,SG,25,SAC,5,0,28,3.5,13.9,.250,3.5,12.1,.286,0.0,1.7,.000,1.7,3.5,.500,1.7,6.9,8.7,8.7,1.7,0.0,3.5,5.2,12.1,,93,116
269,Tre Jones,PG,24,SAS,77,48,2138,6.7,13.3,.505,1.4,4.2,.335,5.3,9.1,.584,2.2,2.6,.856,1.3,5.1,6.4,10.6,1.7,0.2,2.6,2.0,17.1,,123,118
270,Tyus Jones,PG,27,WAS,66,66,1933,7.9,16.1,.489,2.6,6.2,.414,5.3,9.9,.537,0.8,1.0,.800,0.5,3.8,4.3,11.7,1.7,0.4,1.6,1.2,19.1,,126,121
271,DeAndre Jordan,C,35,DEN,36,2,396,7.3,11.6,.624,0.0,0.0,,7.3,11.6,.624,3.3,6.6,.491,6.8,12.9,19.7,3.3,0.8,2.0,2.9,7.0,17.8,,121,110
272,Cory Joseph,PG,32,GSW,26,0,296,3.8,10.5,.359,2.1,6.9,.310,1.6,3.6,.455,0.7,1.1,.571,1.0,3.9,4.9,6.9,0.7,0.5,2.0,4.1,10.3,,108,119
273,Nikola Jović,PF,20,MIA,46,38,896,7.1,15.6,.452,3.6,9.1,.399,3.5,6.6,.525,1.8,2.6,.702,1.4,9.3,10.7,5.0,1.4,0.8,2.3,4.6,19.6,,113,111
274,Johnny Juzang,SG,22,UTA,20,5,372,6.6,14.3,.464,4.2,10.0,.416,2.5,4.3,.576,1.3,1.8,.714,0.9,3.8,4.7,3.0,0.5,0.3,1.7,3.8,18.7,,120,125
275,Luke Kennard,SG,27,MEM,39,22,999,6.9,15.4,.448,5.2,11.6,.450,1.7,3.8,.442,2.0,2.2,.889,0.5,5.0,5.5,6.7,1.0,0.1,2.6,1.9,21.0,,121,119
276,Walker Kessler,C,22,UTA,64,22,1493,7.4,11.3,.654,0.1,0.6,.211,7.3,10.7,.680,1.8,3.0,.602,5.3,10.2,15.5,1.9,1.0,5.0,2.1,4.3,16.7,,128,114
277,Braxton Key,SF,26,DEN,20,0,60,5.8,14.0,.412,1.7,4.1,.400,4.1,9.9,.417,5.0,6.6,.750,2.5,12.4,14.9,7.4,1.7,0.8,0.8,4.1,18.2,,128,110
278,Corey Kispert,SF,24,WAS,80,22,2067,8.7,18.0,.486,4.2,10.9,.383,4.6,7.1,.643,2.6,3.6,.726,0.7,4.4,5.1,3.5,0.9,0.4,2.2,3.2,24.2,,114,123
279,Maxi Kleber,C,32,DAL,43,7,871,3.5,8.0,.432,1.8,5.1,.348,1.7,3.0,.574,1.8,2.6,.702,1.7,6.2,7.9,3.7,0.9,1.7,1.5,4.4,10.5,,118,116
280,Kevin Knox,SF,24,DET,31,11,560,7.4,16.0,.462,2.7,8.1,.330,4.7,7.9,.598,1.7,1.9,.909,1.5,4.9,6.4,2.0,1.1,0.6,1.9,4.3,19.2,,109,121
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
281,John Konchar,SF,27,MEM,55,23,1173,3.7,8.7,.423,1.6,5.0,.317,2.1,3.7,.568,0.9,1.0,.840,3.0,7.7,10.7,4.6,2.1,2.1,1.9,3.2,9.8,,114,112
282,Furkan Korkmaz,SG,26,PHI,35,0,300,4.9,12.5,.395,2.3,6.6,.350,2.6,5.9,.444,2.3,3.3,.700,0.7,4.3,4.9,4.1,2.3,0.5,1.6,2.8,14.4,,108,115
283,Luke Kornet,C,28,BOS,63,7,983,7.1,10.2,.700,0.1,0.1,1.000,7.1,10.2,.698,2.5,2.7,.907,5.9,7.2,13.1,3.4,1.2,3.1,1.1,3.9,16.8,,157,110
284,Vit Krejci,PG,23,ATL,22,14,541,4.5,9.2,.490,2.5,6.0,.412,2.0,3.2,.639,0.4,0.5,.833,1.0,3.6,4.6,4.4,1.2,0.5,1.8,4.3,12.0,,122,122
285,Jonathan Kuminga,PF,21,GSW,74,46,1949,11.3,21.4,.529,1.3,4.1,.321,10.0,17.3,.578,5.5,7.4,.746,2.3,6.5,8.8,4.0,1.4,0.9,3.0,4.2,29.5,,117,116
286,Kyle Kuzma,PF,28,WAS,70,70,2281,12.5,26.9,.463,3.1,9.2,.336,9.4,17.7,.530,3.8,4.9,.775,1.3,8.2,9.5,6.1,0.8,1.0,3.9,3.1,31.8,,103,120
287,Jock Landale,C,28,HOU,56,3,763,6.7,13.1,.515,0.6,2.5,.250,6.1,10.6,.578,3.3,4.1,.800,5.6,5.3,10.9,4.1,1.3,2.1,2.0,4.7,17.4,,126,114
288,Jake LaRavia,PF,22,MEM,35,6,806,7.2,18.4,.389,3.2,9.5,.340,3.9,8.9,.442,5.5,6.6,.826,3.1,4.7,7.8,3.5,1.8,0.7,2.7,4.2,23.0,,109,116
289,Zach LaVine,SG,28,CHI,25,23,872,9.7,21.5,.452,3.4,9.7,.349,6.3,11.8,.536,5.0,5.9,.854,0.5,6.9,7.4,5.6,1.2,0.5,3.0,3.3,27.8,,113,118
290,A.J. Lawson,SG,23,DAL,42,0,311,8.3,18.7,.446,2.0,7.7,.260,6.3,11.0,.577,2.3,3.5,.652,2.2,5.6,7.7,3.1,1.5,0.5,2.2,3.4,21.0,,105,117
291,Saben Lee,PG,24,PHO,24,0,185,5.3,14.5,.364,0.5,4.2,.125,4.8,10.3,.462,7.7,10.3,.744,2.4,5.8,8.2,7.9,1.8,0.8,2.1,3.4,18.7,,115,115
292,Alex Len,C,30,SAC,48,0,444,5.5,8.9,.617,0.0,0.3,.000,5.5,8.5,.641,2.2,3.7,.588,5.0,9.0,14.0,5.5,1.2,3.6,3.0,7.2,13.1,,123,111
293,Kawhi Leonard,SF,32,LAC,68,68,2330,12.9,24.6,.525,3.0,7.1,.417,10.0,17.5,.569,5.4,6.1,.885,1.8,7.0,8.8,5.2,2.4,1.3,2.5,2.1,34.2,,124,114
294,Caris LeVert,SG,29,CLE,68,10,1958,8.7,20.7,.421,2.7,8.4,.325,6.0,12.3,.486,3.9,5.1,.766,1.0,6.1,7.1,8.7,1.9,0.9,3.0,3.1,24.0,,110,113
295,Kira Lewis Jr.,PG,22,TOT,28,0,265,6.2,16.9,.370,0.7,6.1,.121,5.5,10.8,.508,3.1,3.7,.850,1.7,3.1,4.8,6.8,1.7,0.4,2.6,2.4,16.3,,100,119
295,Kira Lewis Jr.,PG,22,NOP,15,0,144,5.4,17.7,.308,0.7,6.8,.100,4.8,10.9,.438,3.4,3.7,.909,1.4,3.4,4.8,6.1,1.7,0.3,2.7,2.7,15.0,,89,116
295,Kira Lewis Jr.,PG,22,TOR,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,,,127
295,Kira Lewis Jr.,PG,22,UTA,12,0,119,7.3,16.2,.450,0.8,5.3,.154,6.5,10.9,.593,2.8,3.6,.778,2.0,2.8,4.9,7.7,1.6,0.4,2.4,1.6,18.2,,113,123
296,Maxwell Lewis,SF,21,LAL,34,0,103,1.8,9.7,.190,0.5,4.2,.111,1.4,5.5,.250,0.9,1.4,.667,0.9,0.9,1.8,2.8,0.9,0.5,4.6,2.3,5.1,,50,121
297,E.J. Liddell,PF,23,NOP,8,0,23,2.1,12.8,.167,0.0,10.7,.000,2.1,2.1,1.000,4.3,4.3,1.000,0.0,10.7,10.7,2.1,4.3,4.3,4.3,4.3,8.5,,56,101
298,Damian Lillard,PG,33,MIL,73,73,2579,10.1,23.8,.424,4.1,11.6,.354,6.0,12.2,.490,8.8,9.6,.920,0.7,5.3,6.0,9.5,1.3,0.3,3.6,2.5,33.1,,120,118
299,Nassir Little,SF,23,PHO,45,2,458,6.1,13.2,.460,2.2,7.5,.300,3.8,5.8,.667,1.8,2.1,.850,1.5,6.5,8.0,2.2,1.1,1.1,1.5,4.2,16.2,,114,116
300,Dereck Lively II,C,19,DAL,55,42,1294,8.2,11.0,.747,0.0,0.1,.000,8.2,10.9,.752,1.5,3.0,.506,5.0,9.0,14.0,2.2,1.3,2.9,1.9,5.3,17.9,,139,112
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
301,Isaiah Livers,PF,25,DET,23,6,469,4.1,11.9,.345,2.3,7.9,.286,1.8,4.0,.462,1.2,1.8,.667,1.5,3.4,4.9,2.6,1.3,0.5,1.6,4.4,11.7,,96,121
302,Chris Livingston,SF,20,MIL,21,0,90,5.9,11.7,.500,0.5,2.7,.200,5.3,9.1,.588,1.6,2.1,.750,1.6,9.6,11.2,2.7,1.1,0.0,2.7,8.0,13.9,,101,116
303,Kenneth Lofton Jr.,PF,21,TOT,21,0,199,8.8,19.1,.462,1.7,5.9,.292,7.1,13.2,.537,4.2,6.4,.654,2.9,6.4,9.3,8.1,1.5,1.2,3.4,5.9,23.4,,111,117
303,Kenneth Lofton Jr.,PF,21,MEM,15,0,99,6.9,18.3,.378,1.5,4.9,.300,5.4,13.3,.407,4.0,7.4,.533,1.0,6.4,7.4,6.9,1.5,1.5,3.0,7.4,19.3,,95,115
303,Kenneth Lofton Jr.,PF,21,PHI,2,0,9,5.5,32.8,.167,0.0,10.9,.000,5.5,21.9,.250,0.0,0.0,,0.0,16.4,16.4,0.0,0.0,0.0,10.9,0.0,10.9,,27,113
303,Kenneth Lofton Jr.,PF,21,UTA,4,0,91,11.1,18.6,.600,2.1,6.4,.333,9.0,12.2,.739,4.8,5.8,.818,5.3,5.3,10.6,10.1,1.6,1.1,3.2,4.8,29.2,,140,121
304,Kevon Looney,C,27,GSW,74,36,1195,5.6,9.4,.597,0.0,0.0,.000,5.6,9.4,.599,2.3,3.4,.675,5.8,11.2,17.0,5.4,1.1,1.2,2.0,6.3,13.5,,134,113
305,Brook Lopez,C,35,MIL,79,79,2411,7.3,15.0,.485,2.9,8.1,.366,4.3,7.0,.621,2.2,2.7,.821,2.3,5.8,8.2,2.5,0.9,3.8,1.6,3.8,19.7,,121,114
306,Robin Lopez,C,35,MIL,16,2,65,5.2,14.0,.368,1.5,5.9,.250,3.7,8.1,.455,1.5,1.5,1.000,2.2,1.5,3.7,3.0,0.7,2.2,1.5,5.2,13.3,,100,119
307,Kevin Love,PF,35,MIA,55,5,924,8.5,19.4,.440,4.5,13.2,.344,4.0,6.2,.643,4.6,5.8,.787,3.2,15.1,18.2,6.2,1.0,0.5,2.6,5.2,26.2,,121,109
308,Kyle Lowry,PG,37,TOT,60,55,1690,4.8,11.1,.432,2.9,7.3,.392,1.9,3.7,.512,1.8,2.2,.840,1.0,4.7,5.7,7.4,1.7,0.6,2.5,4.3,14.3,,118,114
308,Kyle Lowry,PG,37,MIA,37,35,1037,5.0,11.6,.426,3.0,7.7,.385,2.0,3.9,.506,1.7,2.0,.833,1.2,5.0,6.2,7.1,1.9,0.7,2.5,4.5,14.6,,115,113
308,Kyle Lowry,PG,37,PHI,23,20,653,4.5,10.2,.444,2.7,6.7,.404,1.8,3.5,.522,2.1,2.5,.848,0.7,4.2,4.9,8.0,1.5,0.5,2.4,3.9,13.9,,123,117
309,Seth Lundy,SF,23,ATL,9,0,52,3.7,15.7,.235,2.8,12.0,.231,0.9,3.7,.250,2.8,3.7,.750,0.9,5.5,6.5,0.0,0.0,0.0,0.9,5.5,12.9,,82,124
310,Trey Lyles,PF,28,SAC,58,0,1158,6.0,13.5,.445,3.5,9.2,.384,2.5,4.3,.578,2.1,2.9,.700,2.6,8.2,10.8,3.0,0.7,0.8,1.6,3.6,17.6,,120,116
311,Théo Maledon,PG,22,TOT,17,1,213,4.6,16.2,.286,1.2,6.9,.167,3.5,9.3,.375,3.2,3.5,.933,0.9,4.6,5.6,6.5,1.6,0.0,4.2,4.9,13.7,,81,121
311,Théo Maledon,PG,22,CHO,13,1,200,4.7,16.3,.288,1.2,7.4,.167,3.5,8.9,.389,2.7,3.0,.917,1.0,4.7,5.7,6.9,1.7,0.0,3.7,4.4,13.3,,82,121
311,Théo Maledon,PG,22,PHO,4,0,13,3.8,15.0,.250,0.0,0.0,,3.8,15.0,.250,11.3,11.3,1.000,0.0,3.8,3.8,0.0,0.0,0.0,11.3,11.3,18.8,,63,121
312,Sandro Mamukelashvili,C,24,SAS,46,5,451,7.7,16.3,.471,2.0,6.7,.297,5.7,9.6,.593,2.6,3.6,.735,4.7,10.7,15.5,5.2,0.7,1.3,2.0,3.7,20.0,,119,116
313,Terance Mann,SG,27,LAC,75,71,1873,6.7,13.0,.515,1.9,5.4,.348,4.8,7.6,.633,2.1,2.5,.832,2.3,4.4,6.7,3.1,1.1,0.4,1.3,3.8,17.3,,127,119
314,Tre Mann,PG,22,TOT,41,28,987,7.2,15.7,.459,2.3,6.3,.373,4.9,9.5,.516,2.2,2.9,.763,1.0,6.4,7.4,8.2,2.5,0.1,3.2,2.4,19.0,,110,118
314,Tre Mann,PG,22,OKC,13,0,119,8.1,16.2,.500,3.2,7.7,.421,4.8,8.5,.571,0.4,0.4,1.000,1.6,8.1,9.7,8.1,1.2,0.0,3.6,1.2,19.8,,115,114
314,Tre Mann,PG,22,CHO,28,28,868,7.1,15.7,.453,2.2,6.1,.364,4.9,9.6,.509,2.5,3.3,.759,0.9,6.2,7.1,8.2,2.7,0.2,3.2,2.6,18.9,,109,118
315,Boban Marjanović,C,35,HOU,14,0,71,12.3,23.2,.529,0.0,1.4,.000,12.3,21.9,.563,6.1,9.6,.643,4.8,17.1,21.9,4.1,0.7,1.4,3.4,3.4,30.7,,112,109
316,Lauri Markkanen,PF,26,UTA,55,55,1820,11.3,23.6,.480,4.6,11.6,.399,6.7,12.0,.559,6.6,7.3,.899,3.2,8.7,11.9,2.9,1.3,0.7,2.0,2.7,33.9,,128,120
317,Naji Marshall,SF,26,NOP,66,1,1257,6.6,14.3,.463,2.3,5.9,.387,4.4,8.5,.516,2.7,3.4,.791,2.1,7.3,9.4,5.0,1.9,0.5,2.5,3.5,18.2,,115,113
318,Caleb Martin,SF,28,MIA,64,23,1756,6.8,15.9,.431,2.3,6.6,.349,4.5,9.3,.489,2.2,2.8,.778,2.1,5.9,8.0,4.1,1.3,0.8,2.2,3.6,18.2,,107,113
319,Cody Martin,SF,28,CHO,28,22,753,5.4,14.1,.381,1.8,5.6,.314,3.6,8.5,.426,1.3,2.2,.606,1.2,5.9,7.1,6.8,2.1,1.2,2.9,3.1,13.8,,96,118
320,KJ Martin,SF,23,TOT,60,2,746,6.4,11.9,.536,0.5,1.8,.286,5.9,10.1,.582,1.5,2.7,.537,2.7,5.9,8.6,3.4,1.5,0.8,2.1,6.6,14.8,,112,115
320,KJ Martin,SF,23,LAC,2,0,31,6.4,15.9,.400,1.6,8.0,.200,4.8,8.0,.600,1.6,3.2,.500,1.6,3.2,4.8,1.6,3.2,1.6,3.2,4.8,15.9,,86,114
320,KJ Martin,SF,23,PHI,58,2,715,6.4,11.8,.544,0.5,1.6,.304,5.9,10.2,.581,1.4,2.7,.538,2.8,6.1,8.8,3.4,1.4,0.8,2.1,6.7,14.7,,113,116
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
321,Garrison Mathews,SG,27,ATL,66,5,992,5.0,10.9,.456,4.1,9.3,.440,0.9,1.6,.545,1.6,2.0,.810,0.8,3.6,4.4,1.8,1.0,0.4,0.9,5.6,15.7,,131,123
322,Bennedict Mathurin,SF,21,IND,59,19,1538,9.1,20.3,.446,2.5,6.6,.374,6.6,13.8,.481,5.6,6.9,.821,1.8,5.3,7.2,3.7,1.1,0.4,3.0,3.6,26.3,,110,121
323,Wesley Matthews,SG,37,ATL,36,3,413,3.9,11.3,.351,2.8,8.0,.348,1.2,3.3,.357,2.1,2.8,.750,1.0,5.1,6.2,2.7,1.9,1.3,0.9,5.0,12.8,,112,119
324,Tyrese Maxey,PG,23,PHI,70,70,2626,12.0,26.6,.450,4.0,10.7,.373,8.0,15.9,.501,6.1,7.1,.868,0.7,4.2,4.8,8.1,1.3,0.6,2.2,2.8,34.0,,121,117
325,Skylar Mays,PG-SG,26,TOT,38,5,433,7.1,18.0,.396,1.8,6.1,.296,5.3,11.9,.448,1.5,1.9,.765,1.1,3.7,4.9,9.6,2.4,0.5,2.3,2.9,17.6,,107,118
325,Skylar Mays,PG,26,POR,21,5,356,7.4,19.1,.384,1.9,6.8,.286,5.4,12.3,.438,1.8,2.4,.765,1.2,3.9,5.1,10.4,1.9,0.4,2.5,2.8,18.4,,107,119
325,Skylar Mays,SG,26,LAL,17,0,77,6.2,13.0,.476,1.2,3.1,.400,4.9,9.9,.500,0.0,0.0,,0.6,3.1,3.7,6.2,4.3,0.6,1.2,3.7,13.6,,113,112
326,Miles McBride,PG,23,NYK,68,14,1328,7.8,17.2,.452,4.1,10.1,.410,3.6,7.1,.511,1.6,1.9,.860,1.2,2.6,3.8,4.3,1.9,0.3,1.1,4.1,21.3,,126,116
327,CJ McCollum,PG,32,NOP,66,66,2159,11.0,24.0,.459,5.4,12.6,.429,5.6,11.3,.492,2.6,3.2,.827,0.9,5.6,6.5,6.9,1.4,0.9,2.5,2.9,30.0,,118,114
328,T.J. McConnell,PG,31,IND,71,4,1291,12.1,21.7,.556,0.7,1.6,.409,11.4,20.1,.568,1.8,2.3,.790,1.3,5.7,7.0,14.3,2.6,0.3,3.9,2.9,26.6,,121,117
329,Jaden McDaniels,SF,23,MIN,72,71,2105,7.2,14.7,.489,2.0,6.0,.337,5.2,8.8,.592,1.3,1.9,.722,1.3,3.9,5.3,2.4,1.5,1.0,2.0,5.1,17.8,,108,112
330,Jalen McDaniels,SF,26,TOR,50,1,538,5.8,17.0,.344,1.1,6.4,.169,4.8,10.6,.449,2.4,3.3,.730,1.6,5.5,7.1,3.3,1.7,0.5,2.7,4.7,15.2,,86,120
331,Doug McDermott,SF,32,TOT,64,0,904,6.4,14.9,.433,4.9,12.0,.410,1.5,2.9,.527,0.6,1.0,.579,0.5,2.6,3.1,3.7,0.8,0.1,1.5,3.4,18.4,,114,122
331,Doug McDermott,SF,32,SAS,46,0,700,6.4,14.6,.442,5.2,11.7,.439,1.3,2.8,.452,0.7,1.2,.588,0.5,2.7,3.3,3.9,0.7,0.1,1.6,3.3,18.7,,116,122
331,Doug McDermott,SF,32,IND,18,0,204,6.5,16.0,.406,4.2,13.0,.321,2.3,3.0,.769,0.2,0.5,.500,0.5,2.1,2.5,3.0,1.2,0.0,0.9,3.7,17.3,,110,123
332,JaVale McGee,C,36,SAC,46,0,339,11.3,18.9,.598,0.1,1.0,.143,11.2,17.9,.624,3.7,6.4,.578,6.0,12.0,18.1,2.4,2.0,2.9,4.9,6.6,26.5,,109,109
333,Bryce McGowens,SG,21,CHO,59,14,882,5.7,12.9,.439,1.9,5.7,.333,3.7,7.2,.523,3.7,4.8,.776,1.0,4.8,5.7,2.9,1.2,0.6,1.7,4.1,16.9,,111,122
334,Jordan McLaughlin,PG,27,MIN,56,0,626,5.5,11.4,.483,3.3,7.0,.472,2.2,4.4,.500,1.0,1.4,.722,1.4,4.3,5.7,8.7,2.8,0.6,1.5,2.4,15.4,,136,109
335,De'Anthony Melton,SG,25,PHI,38,33,1023,6.7,17.3,.386,3.7,10.3,.360,3.0,7.0,.425,3.2,3.8,.835,1.3,5.4,6.8,5.5,2.9,0.8,1.9,4.0,20.3,,113,113
336,Nathan Mensah,C,25,CHO,25,0,307,1.9,4.5,.429,0.0,0.0,,1.9,4.5,.429,1.4,1.9,.750,4.7,5.8,10.4,1.4,1.0,2.3,2.3,10.3,5.3,,104,119
337,Sam Merrill,SG,27,CLE,61,1,1069,7.3,18.2,.402,6.6,16.4,.404,0.7,1.8,.385,1.2,1.3,.929,1.0,4.5,5.5,5.0,0.9,0.2,0.9,3.3,22.4,,125,117
338,Chimezie Metu,C,26,TOT,51,12,859,6.9,13.8,.504,1.6,5.3,.298,5.4,8.5,.633,3.3,3.6,.906,2.3,8.6,10.9,2.6,2.4,0.9,2.9,4.0,18.7,,112,114
338,Chimezie Metu,C,26,PHO,37,5,448,7.2,14.2,.508,1.6,5.6,.294,5.6,8.6,.646,4.1,4.7,.884,2.6,9.4,12.0,2.1,2.1,1.0,2.9,4.3,20.2,,115,112
338,Chimezie Metu,C,26,DET,14,7,411,6.7,13.3,.500,1.5,5.0,.302,5.2,8.3,.620,2.3,2.5,.952,2.0,7.8,9.8,3.2,2.8,0.8,2.9,3.7,17.2,,109,115
339,Vasilije Micić,PG,30,TOT,60,21,1176,6.6,15.4,.430,1.8,6.4,.279,4.8,9.0,.537,2.5,3.1,.813,0.6,3.1,3.7,10.9,1.3,0.3,4.1,2.8,17.6,,105,121
339,Vasilije Micić,PG,30,OKC,30,0,361,4.9,12.1,.407,1.5,6.0,.244,3.5,6.1,.565,1.9,2.5,.737,0.1,3.1,3.2,10.1,1.2,0.4,3.9,2.9,13.2,,102,117
339,Vasilije Micić,PG,30,CHO,30,21,815,7.4,16.9,.437,1.9,6.6,.294,5.4,10.3,.529,2.8,3.4,.839,0.8,3.1,3.9,11.3,1.3,0.2,4.2,2.8,19.6,,107,123
340,Khris Middleton,SF,32,MIL,55,55,1487,10.2,20.8,.493,3.0,8.0,.381,7.2,12.8,.563,3.2,3.9,.833,1.3,7.0,8.3,9.4,1.6,0.5,4.1,4.6,26.8,,115,116
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
341,Brandon Miller,SF,21,CHO,74,68,2383,9.9,22.4,.440,3.8,10.2,.373,6.0,12.2,.495,3.0,3.6,.827,1.2,5.3,6.5,3.6,1.4,0.9,2.7,3.8,26.5,,105,121
342,Jordan Miller,SF,24,LAC,8,0,28,8.8,15.9,.556,1.8,3.5,.500,7.1,12.3,.571,3.5,3.5,1.000,5.3,3.5,8.8,0.0,0.0,0.0,1.8,3.5,22.9,,130,122
343,Leonard Miller,SF,20,MIN,17,0,52,12.4,19.0,.650,1.9,4.8,.400,10.5,14.3,.733,1.0,1.9,.500,4.8,14.3,19.0,7.6,1.9,1.0,1.0,4.8,27.6,,148,104
344,Dariq Whitehead,SF,19,BRK,2,0,24,2.1,10.3,.200,0.0,6.2,.000,2.1,4.1,.500,2.1,4.1,.500,0.0,8.3,8.3,6.2,0.0,2.1,0.0,0.0,6.2,,83,118
345,Patty Mills,PG,35,TOT,32,5,415,5.4,15.4,.351,2.8,10.3,.276,2.6,5.2,.500,1.3,1.3,1.000,1.1,3.1,4.1,4.0,2.4,0.1,1.9,3.8,15.0,,98,117
345,Patty Mills,PG,35,ATL,19,0,202,4.5,12.1,.373,3.1,8.1,.382,1.4,4.0,.353,0.0,0.0,,1.2,3.6,4.7,3.3,2.1,0.2,1.9,4.0,12.1,,102,120
345,Patty Mills,PG,35,MIA,13,5,213,6.3,18.7,.338,2.6,12.4,.208,3.7,6.3,.593,2.6,2.6,1.000,0.9,2.6,3.5,4.7,2.6,0.0,1.9,3.5,17.8,,96,113
346,Shake Milton,SG,27,TOT,48,0,581,6.7,16.6,.405,1.5,5.4,.281,5.2,11.1,.466,3.4,4.2,.816,1.2,5.2,6.4,5.1,1.6,0.5,2.6,4.6,18.3,,102,112
346,Shake Milton,SG,27,MIN,38,0,491,6.4,16.1,.400,1.4,5.3,.264,5.0,10.8,.467,3.6,4.4,.818,0.7,4.4,5.1,5.0,1.6,0.5,2.8,4.4,17.9,,100,112
346,Shake Milton,SG,27,DET,4,0,63,8.4,19.9,.423,2.3,6.9,.333,6.1,13.0,.471,1.5,2.3,.667,5.3,8.4,13.7,4.6,1.5,0.8,2.3,2.3,20.6,,108,118
346,Shake Milton,SG,27,NYK,6,0,27,7.5,16.8,.444,1.9,3.7,.500,5.6,13.1,.429,3.7,3.7,1.000,0.0,11.2,11.2,7.5,1.9,0.0,0.0,13.1,20.5,,136,111
347,Justin Minaya,SF,24,POR,34,1,381,2.9,9.6,.297,1.6,6.4,.245,1.3,3.2,.400,0.6,1.2,.556,3.9,3.4,7.3,2.7,1.2,1.3,1.2,4.5,7.9,,100,120
348,Josh Minott,SF,21,MIN,32,0,91,9.2,19.6,.472,2.2,5.4,.400,7.1,14.1,.500,6.5,7.6,.857,2.2,7.1,9.2,4.3,2.7,2.7,1.1,5.4,27.2,,127,105
349,Davion Mitchell,PG,25,SAC,72,4,1101,6.4,14.2,.452,2.5,7.0,.361,3.9,7.3,.539,1.3,1.9,.714,0.8,3.4,4.2,5.9,0.7,0.1,1.9,3.7,16.7,,114,120
350,Donovan Mitchell,SG,27,CLE,55,55,1942,12.8,27.7,.462,4.6,12.6,.368,8.2,15.1,.539,7.0,8.1,.865,1.2,6.0,7.1,8.5,2.6,0.8,3.9,3.0,37.2,,117,111
351,Evan Mobley,PF,22,CLE,50,50,1532,10.3,17.8,.580,0.7,1.9,.373,9.6,15.9,.604,4.0,5.5,.719,3.6,11.5,15.1,5.2,1.5,2.3,2.9,4.3,25.3,,122,109
352,Isaiah Mobley,PF,24,CLE,10,0,72,6.9,16.5,.417,2.1,6.9,.300,4.8,9.6,.500,0.0,0.7,.000,2.1,4.8,6.9,4.1,1.4,0.0,1.4,4.1,15.8,,102,116
353,Malik Monk,SG,25,SAC,72,0,1872,10.3,23.2,.443,3.8,11.0,.350,6.4,12.2,.528,4.4,5.3,.829,0.7,4.8,5.5,9.6,1.2,1.0,3.9,4.0,28.8,,113,117
354,Moses Moody,SG,21,GSW,66,9,1156,8.1,17.6,.462,3.0,8.4,.360,5.1,9.2,.555,3.1,3.9,.785,2.7,5.5,8.2,2.4,1.8,1.0,1.8,3.8,22.3,,117,115
355,Xavier Moon,SG,29,LAC,14,1,119,6.2,19.1,.326,0.8,7.1,.118,5.4,12.0,.448,0.4,0.8,.500,3.3,4.1,7.5,8.7,1.2,1.2,2.1,3.3,13.7,,95,118
