Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
206,Shaquille Harrison,SG,30,MEM,3,0,6,8.1,16.3,.500,0.0,0.0,,8.1,16.3,.500,0.0,0.0,,0.0,16.3,16.3,0.0,0.0,8.1,0.0,0.0,16.3,,100,104
207,Josh Hart,SF,28,NYK,81,42,2707,5.5,12.6,.434,1.5,4.8,.310,4.0,7.8,.511,1.7,2.1,.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,,115,113
208,Isaiah Hartenstein,C,25,NYK,75,49,1896,6.2,9.7,.644,0.0,0.1,.333,6.2,9.6,.646,3.0,4.2,.707,6.5,10.2,16.6,5.0,2.3,2.3,2.5,5.6,15.5,,136,108
209,Sam Hauser,SF,26,BOS,79,13,1741,7.1,15.8,.446,5.6,13.2,.424,1.5,2.6,.559,0.5,0.5,.895,1.3,6.6,7.8,2.3,1.1,0.7,0.9,2.8,20.2,,126,114
210,Jordan Hawkins,SG,21,NOP,67,10,1160,7.4,19.3,.382,4.6,12.6,.366,2.7,6.7,.411,2.8,3.4,.838,1.2,5.0,6.3,3.0,0.8,0.3,1.7,3.0,22.1,,109,117
211,Jaxson Hayes,C,23,LAL,70,5,877,6.8,9.5,.720,0.0,0.4,.000,6.8,9.1,.754,2.8,4.4,.622,3.7,7.7,11.4,1.8,1.8,1.6,2.3,6.7,16.4,,128,113
212,Killian Hayes,PG,22,DET,42,31,1008,5.6,13.5,.413,1.1,3.5,.297,4.5,10.0,.455,1.6,2.4,.660,0.5,5.2,5.7,9.8,1.7,1.0,2.4,3.6,13.8,,106,119
213,Gordon Hayward,SF,33,TOT,51,28,1245,7.3,15.8,.464,1.5,3.5,.411,5.9,12.3,.479,3.5,4.7,.742,1.5,5.6,7.1,6.2,1.6,0.5,2.6,2.6,19.6,,111,118
213,Gordon Hayward,SF,33,CHO,25,25,798,8.6,18.4,.468,1.4,3.8,.361,7.2,14.6,.496,3.8,5.0,.765,1.5,5.7,7.2,7.2,1.7,0.7,3.2,2.8,22.4,,109,120
213,Gordon Hayward,SF,33,OKC,26,3,447,5.2,11.4,.453,1.6,3.1,.517,3.5,8.3,.429,2.9,4.2,.692,1.4,5.5,6.9,4.5,1.3,0.1,1.6,2.3,14.8,,117,116
214,Scoot Henderson,PG,19,POR,62,32,1765,8.6,22.3,.385,2.4,7.5,.325,6.2,14.8,.416,4.7,5.7,.819,1.5,3.9,5.4,9.4,1.3,0.4,5.9,5.5,24.3,,97,120
215,Taylor Hendricks,PF,20,UTA,40,23,856,6.1,13.5,.450,3.0,7.9,.379,3.1,5.6,.550,1.3,1.6,.793,2.6,7.8,10.4,1.8,1.6,1.7,1.5,4.3,16.5,,117,119
216,Tyler Herro,SG,24,MIA,42,40,1407,11.5,26.1,.441,4.7,11.8,.396,6.8,14.3,.478,3.4,3.9,.856,0.7,7.2,7.9,6.7,1.1,0.1,3.3,2.2,31.0,,108,114
217,Buddy Hield,SF-SG,31,TOT,84,42,2160,8.2,18.9,.436,4.9,12.6,.386,3.4,6.3,.539,1.2,1.3,.881,1.4,4.6,6.0,5.2,1.6,0.9,2.3,3.8,22.5,,114,118
217,Buddy Hield,SF,31,IND,52,28,1336,8.1,18.3,.443,4.8,12.6,.384,3.2,5.6,.575,1.0,1.2,.848,1.2,4.7,5.9,4.9,1.5,1.1,2.2,3.6,22.0,,115,119
217,Buddy Hield,SG,31,PHI,32,14,824,8.5,19.9,.426,4.9,12.6,.389,3.6,7.3,.492,1.4,1.6,.923,1.6,4.5,6.1,5.8,1.6,0.7,2.4,3.9,23.3,,114,116
218,Haywood Highsmith,PF,27,MIA,66,26,1366,5.6,12.0,.465,2.8,7.0,.396,2.8,5.0,.562,0.8,1.3,.639,2.4,5.3,7.7,2.6,1.9,1.1,1.2,4.3,14.8,,118,112
219,Nate Hinton,SG,24,HOU,15,0,75,7.1,16.8,.423,4.5,9.1,.500,2.6,7.8,.333,2.6,3.2,.800,4.5,9.7,14.2,6.5,1.9,1.3,1.9,7.1,21.3,,128,110
220,D'Moi Hodge,SG,25,LAL,7,0,41,5.8,17.4,.333,3.5,13.9,.250,2.3,3.5,.667,1.2,2.3,.500,0.0,0.0,0.0,5.8,1.2,1.2,1.2,4.6,16.2,,97,120
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
221,Aaron Holiday,PG,27,HOU,78,1,1269,7.1,15.9,.446,3.2,8.3,.387,3.9,7.6,.510,2.2,2.4,.921,0.9,3.8,4.7,5.4,1.6,0.2,2.0,4.8,19.6,,117,116
222,Jrue Holiday,PG,33,BOS,69,69,2263,7.2,15.0,.480,3.0,7.0,.429,4.2,8.0,.526,1.3,1.6,.833,1.8,6.3,8.1,7.3,1.3,1.2,2.7,2.4,18.8,,121,113
223,Justin Holiday,SG,34,DEN,58,9,862,5.1,11.2,.454,3.2,7.8,.404,1.9,3.3,.569,0.2,0.2,.750,0.5,3.6,4.1,3.9,2.1,0.5,0.8,4.0,13.5,,124,115
224,Richaun Holmes,C-PF,30,TOT,40,10,555,7.0,12.5,.558,0.1,0.3,.333,6.9,12.3,.563,2.9,4.0,.723,6.0,9.5,15.5,2.1,0.9,1.6,2.0,6.3,16.9,,123,116
224,Richaun Holmes,C,30,DAL,23,2,237,6.7,11.9,.559,0.0,0.0,,6.7,11.9,.559,2.4,4.3,.571,6.7,9.1,15.8,3.0,0.6,1.8,2.4,6.7,15.8,,121,115
224,Richaun Holmes,PF,30,WAS,17,8,318,7.2,12.9,.557,0.1,0.4,.333,7.1,12.5,.565,3.2,3.8,.846,5.6,9.7,15.3,1.5,1.2,1.5,1.8,6.0,17.8,,124,118
225,Chet Holmgren,C,21,OKC,82,82,2413,10.1,19.0,.530,2.6,7.0,.370,7.5,12.0,.623,4.3,5.5,.793,2.6,10.3,12.9,4.0,1.1,3.8,2.6,3.9,27.0,,122,108
226,Jalen Hood-Schifino,SG,20,LAL,21,0,109,4.4,19.6,.222,0.9,6.5,.133,3.5,13.1,.267,5.2,8.7,.600,0.9,4.8,5.7,3.5,1.3,0.9,3.9,5.7,14.8,,66,117
227,Al Horford,C,37,BOS,65,33,1740,6.1,11.9,.511,3.1,7.3,.419,3.0,4.6,.658,0.7,0.9,.867,2.3,9.4,11.7,4.8,1.1,1.8,1.4,2.6,16.0,,135,111
228,Talen Horton-Tucker,PG,23,UTA,51,11,1009,8.8,22.2,.396,2.9,8.7,.330,5.9,13.5,.438,4.2,5.2,.807,1.0,4.8,5.8,8.5,2.2,0.9,3.1,4.5,24.7,,108,120
229,Danuel House Jr.,SF,30,PHI,34,4,509,4.5,10.2,.448,1.5,4.8,.300,3.1,5.3,.582,3.4,4.4,.761,1.5,4.1,5.6,2.7,1.5,0.5,1.8,4.4,13.9,,114,117
230,Caleb Houstan,SF,21,ORL,59,13,815,4.9,12.5,.388,4.4,11.7,.373,0.5,0.8,.615,1.3,1.6,.808,1.7,3.4,5.1,1.8,0.9,0.2,1.0,3.7,15.4,,119,116
231,Jett Howard,SF,20,ORL,18,0,67,7.4,22.2,.333,5.2,18.5,.280,2.2,3.7,.600,1.5,3.0,.500,0.7,4.4,5.2,4.4,1.5,1.5,2.2,3.0,21.4,,96,113
232,Kevin Huerter,SG,25,SAC,64,59,1562,7.7,17.4,.443,3.8,10.6,.361,3.9,6.8,.571,1.1,1.5,.766,1.2,5.8,7.0,5.2,1.4,0.7,1.6,4.2,20.4,,116,116
233,Jay Huff,C,25,DEN,20,0,49,9.1,15.2,.600,3.0,9.1,.333,6.1,6.1,1.000,2.0,2.0,1.000,2.0,9.1,11.1,2.0,2.0,3.0,1.0,9.1,23.3,,140,108
