No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us US,1,USC
10,Evan Fournier,SG,6-6,205,"October 29, 1992",fr FR,2,
8,Channing Frye,PF,7-0,255,"May 17, 1983",us US,8,Arizona
0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,R,Arizona
7,Ben Gordon,SG,6-3,200,"April 4, 1983",gb GB,10,UConn
34,Willie Green,SG,6-4,200,"July 28, 1981",us US,11,Detroit Mercy
21,Maurice Harkless,SF,6-7,220,"May 11, 1993",us US,2,St. John's
12,Tobias Harris,SF,6-8,226,"July 15, 1992",us US,3,Tennessee
11,Devyn Marble,SG,6-6,200,"September 21, 1992",us US,R,Iowa
44,Andrew Nicholson,PF,6-9,250,"December 8, 1989",ca CA,2,St. Bonaventure
2,Kyle O'Quinn,PF,6-9,250,"March 26, 1990",us US,2,Norfolk State
5,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,1,Indiana
4,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,R,Louisiana
13,Luke Ridnour,PG,6-2,175,"February 13, 1981",us US,11,Oregon
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch CH,3,USC
