No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
6,Kent Bazemore,SG,6-4,195,"July 1, 1989",us US,1,Old Dominion
5,Steve Blake,PG,6-3,172,"February 26, 1980",us US,10,Maryland
2,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,2,Providence
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,17,
1,Jordan Farmar,PG,6-2,180,"November 30, 1986",us US,6,UCLA
16,Pau Gasol,C,7-0,250,"July 6, 1980",es ES,12,
2,Elias Harris,SF,6-8,239,"July 6, 1989",de DE,R,Gonzaga
3,Manny Harris,SG,6-5,185,"September 21, 1989",us US,2,Michigan
7,Xavier Henry,SF,6-6,220,"March 15, 1991",be BE,3,Kansas
27,Jordan Hill,PF,6-10,235,"July 27, 1987",us US,4,Arizona
11,Wesley Johnson,SF,6-7,215,"July 11, 1987",us US,3,"Iowa State, Syracuse"
9,Chris Kaman,C,7-0,265,"April 28, 1982",us US,10,Central Michigan University
4,Ryan Kelly,PF,6-11,230,"April 9, 1991",us US,R,Duke
12,Kendall Marshall,PG,6-4,200,"August 19, 1991",us US,1,UNC
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us US,4,Kentucky
10,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,17,Santa Clara
50,Robert Sacre,C,7-0,270,"June 6, 1989",us US,1,Gonzaga
3,Shawne Williams,PF,6-9,225,"February 16, 1986",us US,5,Memphis
0,Nick Young,SG,6-7,210,"June 1, 1985",us US,6,USC
