No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Kenny Anderson,PG,6-1,168,"October 9, 1970",us US,13,Georgia Tech
4,Maurice Baker,PG,6-1,175,"July 28, 1979",us US,R,Oklahoma State
42,Elton Brand,PF,6-9,275,"March 11, 1979",us US,5,Duke
9,Rick Brunson,PG,6-4,190,"June 14, 1972",us US,7,Temple
0,Lionel Chalmers,PG,6-0,180,"November 10, 1980",us US,R,Xavier
20,Marko Jarić,PG,6-7,198,"October 12, 1978",rs RS,2,
35,Chris Kaman,C,7-0,265,"April 28, 1982",us US,1,Central Michigan University
30,Kerry Kittles,SG,6-5,179,"June 12, 1974",us US,7,Villanova
14,Shaun Livingston,PG,6-7,192,"September 11, 1985",us US,R,
50,Corey Maggette,SG,6-6,218,"November 12, 1979",us US,5,Duke
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,9,UCLA
33,Mikki Moore,PF,6-11,225,"November 4, 1975",us US,6,Nebraska
34,Mamadou N'Diaye,C,7-0,255,"June 16, 1975",sn SN,4,Auburn
22,Kirk Penney,SG,6-5,220,"November 23, 1980",nz NZ,1,Wisconsin
11,Željko Rebrača,C,7-0,257,"April 9, 1972",rs RS,3,
13,Quinton Ross,SG,6-6,195,"April 30, 1981",us US,R,SMU
21,Bobby Simmons,SF,6-7,210,"June 2, 1980",us US,3,DePaul
54,Chris Wilcox,C,6-10,221,"September 3, 1982",us US,2,Maryland
