No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Jaylen Adams,PG,6-0,225,"May 4, 1996",us US,1,St. Bonaventure
0,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us US,16,Syracuse
8,Trevor Ariza,SF,6-8,215,"June 30, 1985",us US,15,UCLA
24,Kent Bazemore,SF,6-4,195,"July 1, 1989",us US,7,Old Dominion
4,Moses Brown,C,7-2,245,"October 13, 1999",us US,R,UCLA
33,Zach Collins,PF,6-11,250,"November 19, 1997",us US,2,Gonzaga
35,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd SD,R,Kentucky
44,Mario Hezonja,PF,6-8,220,"February 25, 1995",hr HR,4,
6,Jaylen Hoard,PF,6-8,216,"March 30, 1999",fr FR,R,Wake Forest
5,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,5,"Mississippi State, Duke"
17,Skal Labissière,C,6-10,235,"March 18, 1996",ht HT,3,Kentucky
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,7,Weber State
9,Nassir Little,PF,6-5,220,"February 11, 2000",us US,R,UNC
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,6,Lehigh
27,Jusuf Nurkić,C,7-0,290,"August 23, 1994",ba BA,5,
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us US,1,
50,Caleb Swanigan,PF,6-9,260,"April 18, 1997",us US,2,Purdue
43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",us US,11,Creighton
2,Gary Trent Jr.,SF,6-5,209,"January 18, 1999",us US,1,Duke
21,Hassan Whiteside,C,7-0,265,"June 13, 1989",us US,7,Marshall
