No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us US,9,Wake Forest
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,11,Texas
5,Mo Bamba,C,7-0,231,"May 12, 1998",us US,1,Texas
24,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,2,"Pitt, UNLV"
7,Michael Carter-Williams,SG,6-5,190,"October 10, 1991",us US,6,Syracuse
12,Gary Clark,SF,6-6,225,"November 16, 1994",us US,1,Cincinnati
11,James Ennis III,SG,6-6,215,"July 1, 1990",us US,5,Cal State Long Beach
10,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,7,
35,Melvin Frazier,SG,6-5,215,"August 30, 1996",us US,1,Tulane
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,2,Washington
00,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,5,Arizona
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,2,Florida State
25,Wes Iwundu,SF,6-6,195,"December 20, 1994",us US,2,Kansas State
11,Amile Jefferson,PF,6-9,222,"May 7, 1993",us US,1,Duke
13,B.J. Johnson,SF,6-7,200,"December 21, 1995",us US,1,"Syracuse, La Salle"
23,Vic Law,PF,6-7,200,"December 19, 1995",us US,R,Northwestern
4,Josh Magette,PG,6-1,160,"November 28, 1989",us US,1,Alabama-Huntsville
"8, 31",Terrence Ross,SG,6-6,206,"February 5, 1991",us US,7,Washington
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch CH,8,USC
