No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
44,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv LV,5,
44,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,2,Saint Joseph's
9,Moses Brown,C,7-2,245,"October 13, 1999",us US,2,UCLA
0,Sterling Brown,SG,6-5,219,"February 10, 1995",us US,4,SMU
13,Jalen Brunson,SG,6-2,190,"August 31, 1996",us US,3,Villanova
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us US,8,UNC
3,Trey Burke,PG,6-0,185,"November 12, 1992",us US,8,Michigan
33,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us US,6,Kentucky
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us US,5,Washington
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,7,Colorado
77,Luka Dončić,PG,6-7,230,"February 28, 1999",si SI,3,
10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,5,Florida
8,Josh Green,SG,6-5,200,"November 16, 2000",au AU,1,Arizona
11,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,8,Michigan
23,Carlik Jones,PG,6-1,185,"December 23, 1997",us US,R,"Radford, Louisville"
94,George King,SF,6-6,225,"January 15, 1994",us US,1,Colorado
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,4,
20,Brandon Knight,PG,6-2,182,"December 2, 1991",us US,8,Kentucky
51,Boban Marjanović,C,7-4,290,"August 15, 1988",rs RS,6,
30,JaQuori McLaughlin,PG,6-4,190,"January 29, 1998",us US,R,"Oregon State, UC Santa Barbara"
21,Frank Ntilikina,SG,6-4,200,"July 28, 1998",be BE,4,
2,Eugene Omoruyi,SF,6-7,244,"February 14, 1997",ng NG,R,"Rutgers University, Oregon"
1,Theo Pinson,SF,6-5,212,"November 5, 1995",us US,3,UNC
6,Kristaps Porziņģis,PF,7-2,240,"August 2, 1995",lv LV,5,
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,7,Stanford
2,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,10,Washington
5,Moses Wright,PF,6-9,233,"December 23, 1998",us US,R,Georgia Tech
