No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,8,Pitt
7,Santi Aldama,PF,6-11,224,"January 10, 2001",es ES,R,Loyola (MD)
1,Kyle Anderson,PF,6-9,230,"September 20, 1993",us US,7,UCLA
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,1,TCU
24,Dillon Brooks,SF,6-6,225,"January 22, 1996",ca CA,4,Oregon
6,Shaq Buchanan,SG,6-3,190,"January 30, 1997",us US,R,"Northeast Mississippi Community College, Murray State"
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,2,"San Jose State, Gonzaga"
23,Jarrett Culver,SG,6-6,195,"February 20, 1999",us US,2,Texas Tech
13,Jaren Jackson Jr.,PF,6-10,242,"September 15, 1999",us US,3,Michigan State
55,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us US,2,"Oral Roberts, Tulsa"
21,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,6,Duke
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,2,Purdue-Fort Wayne
31,Dakota Mathias,SG,6-4,200,"July 11, 1995",us US,1,Purdue
0,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us US,3,USC
25,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,1,Utah State University
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,2,Murray State
5,Yves Pons,SF,6-6,215,"May 7, 1999",ht HT,R,Tennessee
20,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,R,Kansas State
3,Tyrell Terry,PG,6-2,160,"September 28, 2000",us US,1,Stanford
10,Jon Teske,C,7-1,265,"May 4, 1997",us US,R,Michigan
35,Killian Tillie,C,6-9,220,"March 5, 1998",fr FR,1,Gonzaga
2,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us US,1,Michigan State
8,Ziaire Williams,SF,6-9,215,"September 12, 2001",us US,R,Stanford
