No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Cat Barber,PG,6-2,190,"July 25, 1994",us US,R,NC State
13,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs RS,4,
45,Chaundee Brown Jr.,SG,6-5,215,"December 4, 1998",us US,R,"Wake Forest, Michigan"
15,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,7,
20,John Collins,PF,6-9,235,"September 23, 1997",us US,4,Wake Forest
2,Sharife Cooper,PG,6-1,180,"June 11, 2001",us US,R,Auburn
10,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,8,Louisville
8,Danilo Gallinari,PF,6-10,233,"August 8, 1988",it IT,12,
14,Malcolm Hill,SG,6-6,220,"October 26, 1995",us US,R,Illinois
18,Solomon Hill,SF,6-6,226,"March 18, 1991",us US,8,Arizona
3,Kevin Huerter,SF,6-7,190,"August 27, 1998",us US,3,Maryland
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us US,2,Virginia
24,Wes Iwundu,SF,6-6,195,"December 20, 1994",us US,4,Kansas State
1,Jalen Johnson,PF,6-9,220,"December 18, 2001",us US,R,Duke
5,Kevin Knox,SF,6-7,215,"August 11, 1999",us US,3,Kentucky
7,Timothé Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",fr FR,5,
4,Skylar Mays,SG,6-4,205,"September 5, 1997",us US,1,LSU
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us US,1,USC
49,Cameron Oliver,SF,6-8,239,"July 11, 1996",us US,1,Nevada
22,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,2,Duke
33,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,9,Cincinnati
6,Lou Williams,PG,6-2,175,"October 27, 1986",us US,16,
0,Delon Wright,SG,6-5,185,"April 26, 1992",us US,6,Utah
11,Trae Young,PG,6-1,164,"September 19, 1998",us US,3,Oklahoma
