Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
548,Brandon Williams,PG,24,DAL,17,0,113,20,54,.370,3,15,.200,17,39,.436,.398,11,17,.647,4,9,13,17,1,1,7,4,54
549,Grant Williams,PF,25,TOT,76,43,2130,276,605,.456,126,336,.375,150,269,.558,.560,106,140,.757,86,232,318,174,44,39,109,226,784
549,Grant Williams,PF,25,DAL,47,33,1242,131,317,.413,79,210,.376,52,107,.486,.538,41,55,.745,46,123,169,81,24,27,53,137,382
549,Grant Williams,PF,25,CHO,29,10,888,145,288,.503,47,126,.373,98,162,.605,.585,65,85,.765,40,109,149,93,20,12,56,89,402
550,Jalen Williams,PF,22,OKC,71,71,2223,536,993,.540,103,241,.427,433,752,.576,.592,180,221,.814,37,245,282,322,80,45,123,175,1355
551,Jaylin Williams,C,21,OKC,69,1,897,95,228,.417,53,144,.368,42,84,.500,.533,33,41,.805,36,198,234,110,28,27,34,98,276
552,Jeenathan Williams,SG,24,HOU,22,0,129,27,50,.540,2,5,.400,25,45,.556,.560,7,13,.538,12,11,23,7,4,1,4,10,63
553,Kenrich Williams,PF,29,OKC,69,1,1029,131,280,.468,56,141,.397,75,139,.540,.568,7,14,.500,61,148,209,93,38,9,32,101,325
554,Malik Williams,C,25,TOR,7,2,107,9,34,.265,1,5,.200,8,29,.276,.279,0,2,.000,15,23,38,2,3,4,3,15,19
555,Mark Williams,C,22,CHO,19,19,508,98,151,.649,0,0,,98,151,.649,.649,46,64,.719,76,108,184,22,16,20,17,50,242
556,Patrick Williams,PF,22,CHI,43,30,1174,159,359,.443,59,148,.399,100,211,.474,.525,52,66,.788,46,120,166,66,40,33,57,87,429
557,Robert Williams,C,26,POR,6,0,119,17,26,.654,0,0,,17,26,.654,.654,7,9,.778,11,27,38,5,7,7,7,17,41
558,Vince Williams Jr.,SG,23,MEM,52,33,1436,169,379,.446,79,209,.378,90,170,.529,.550,104,130,.800,59,231,290,175,47,34,92,135,521
559,Ziaire Williams,SF,22,MEM,51,15,1038,150,378,.397,58,189,.307,92,189,.487,.474,62,75,.827,35,145,180,75,36,9,66,85,420
560,Zion Williamson,PF,23,NOP,70,70,2207,624,1094,.570,6,18,.333,618,1076,.574,.573,347,494,.702,122,284,406,352,77,47,193,159,1601
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
561,D.J. Wilson,PF,27,PHI,2,0,15,4,6,.667,2,2,1.000,2,4,.500,.833,0,0,,1,1,2,2,0,2,0,1,10
562,Jalen Wilson,PF,23,BRK,43,3,664,76,179,.425,24,74,.324,52,105,.495,.492,38,46,.826,47,84,131,45,11,4,19,48,214
563,Dylan Windler,SF,27,TOT,17,0,108,15,30,.500,13,27,.481,2,3,.667,.717,0,0,,3,13,16,10,2,0,2,6,43
563,Dylan Windler,SF,27,NYK,3,0,7,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,0,0,0,1,3
563,Dylan Windler,SF,27,LAL,8,0,28,4,9,.444,4,8,.500,0,1,.000,.667,0,0,,0,3,3,6,0,0,0,2,12
563,Dylan Windler,SF,27,ATL,6,0,73,10,19,.526,8,17,.471,2,2,1.000,.737,0,0,,3,9,12,3,2,0,2,3,28
564,James Wiseman,C,22,DET,63,6,1091,187,305,.613,0,2,.000,187,303,.617,.613,72,102,.706,110,226,336,54,12,39,66,141,446
565,Isaiah Wong,SG,23,IND,1,0,4,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,0,0,0,0,2
566,Christian Wood,PF,28,LAL,50,1,872,123,264,.466,35,114,.307,88,150,.587,.532,66,94,.702,39,215,254,49,16,33,50,72,347
567,Delon Wright,PG,31,TOT,47,1,742,74,188,.394,25,68,.368,49,120,.408,.460,37,45,.822,19,67,86,119,54,11,14,32,210
567,Delon Wright,PG,31,WAS,33,0,456,48,122,.393,14,38,.368,34,84,.405,.451,24,29,.828,13,46,59,82,35,8,11,22,134
567,Delon Wright,PG,31,MIA,14,1,286,26,66,.394,11,30,.367,15,36,.417,.477,13,16,.813,6,21,27,37,19,3,3,10,76
568,Thaddeus Young,PF,35,TOT,33,6,439,65,108,.602,1,7,.143,64,101,.634,.606,6,15,.400,46,57,103,57,23,5,15,49,137
568,Thaddeus Young,PF,35,TOR,23,6,350,54,87,.621,1,6,.167,53,81,.654,.626,5,12,.417,29,46,75,50,18,3,11,38,114
568,Thaddeus Young,PF,35,PHO,10,0,89,11,21,.524,0,1,.000,11,20,.550,.524,1,3,.333,17,11,28,7,5,2,4,11,23
569,Trae Young,PG,25,ATL,54,54,1942,433,1008,.430,175,469,.373,258,539,.479,.516,348,407,.855,23,126,149,583,72,11,235,109,1389
570,Omer Yurtseven,C,25,UTA,48,12,545,99,184,.538,5,24,.208,94,160,.588,.552,19,28,.679,72,136,208,29,8,18,37,52,222
571,Cody Zeller,C,31,NOP,43,0,320,26,62,.419,1,3,.333,25,59,.424,.427,23,38,.605,48,64,112,39,9,5,16,45,76
572,Ivica Zubac,C,26,LAC,68,68,1794,337,519,.649,0,0,,337,519,.649,.649,120,166,.723,196,430,626,93,22,83,79,180,794
