No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,6,UNLV
7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",it IT,3,
0,Marco Belinelli,SG,6-5,220,"March 25, 1986",it IT,2,
4,Chris Bosh,C,6-11,235,"March 24, 1984",us US,6,Georgia Tech
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,4,
10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",us US,R,USC
30,Reggie Evans,PF,6-8,245,"May 18, 1980",us US,7,Iowa
1,Jarrett Jack,PG,6-3,200,"October 28, 1983",us US,4,Georgia Tech
15,Amir Johnson,PF,6-9,240,"May 1, 1987",us US,4,
44,Pops Mensah-Bonsu,PF,6-9,240,"September 7, 1983",gb GB,2,George Washington
12,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,11,
13,Patrick O'Bryant,C,7-0,260,"June 20, 1986",us US,3,Bradley
26,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr TR,9,
24,Sonny Weems,SG,6-6,205,"July 8, 1986",us US,1,Arkansas
21,Antoine Wright,SF,6-7,210,"February 6, 1984",us US,4,Texas A&M
