No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",us US,8,Arizona
7,Andray Blatche,PF,6-11,235,"August 22, 1986",us US,4,
12,Earl Boykins,PG,5-5,135,"June 2, 1976",us US,10,Eastern Michigan
3,Caron Butler,SF,6-7,228,"March 13, 1980",us US,7,UConn
9,Paul Davis,PF,6-11,270,"July 21, 1984",us US,3,Michigan State
15,Randy Foye,PG,6-4,213,"September 24, 1983",us US,3,Villanova
24,Alonzo Gee,SG,6-6,225,"May 29, 1987",us US,R,Alabama
33,Mike Harris,PF,6-6,240,"June 15, 1983",us US,1,Rice University
33,Brendan Haywood,C,7-0,268,"November 27, 1979",us US,8,UNC
5,Josh Howard,SF,6-7,210,"April 28, 1980",us US,6,Wake Forest
9,Cedric Jackson,PG,6-3,191,"March 5, 1986",us US,R,"St. John's, Cleveland State University"
13,Mike James,PG,6-2,188,"June 23, 1975",us US,8,Duquesne
4,Antawn Jamison,PF,6-9,223,"June 12, 1976",us US,11,UNC
2,Shaun Livingston,PG,6-7,192,"September 11, 1985",us US,4,
20,Cartier Martin,SF,6-7,220,"November 20, 1984",us US,1,Kansas State
34,JaVale McGee,C,7-0,270,"January 19, 1988",us US,1,Nevada
5,Dominic McGuire,SF,6-9,220,"October 20, 1985",us US,2,"California, Fresno State"
6,Mike Miller,SG,6-8,218,"February 19, 1980",us US,9,Florida
21,Fabricio Oberto,C,6-10,245,"March 21, 1975",ar AR,4,
3,Quinton Ross,SG,6-6,195,"April 30, 1981",us US,5,SMU
22,James Singleton,PF,6-8,216,"July 20, 1981",us US,3,Murray State
2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",us US,9,
14,Al Thornton,SF,6-8,220,"December 7, 1983",us US,2,Florida State
1,Nick Young,SG,6-7,210,"June 1, 1985",us US,2,USC
