No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,LaMarcus Aldridge,PF,6-11,250,"July 19, 1985",us US,3,Texas
31,Jeff Ayres,C,6-9,240,"April 29, 1987",us US,R,Arizona State
88,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,1,
4,Jerryd Bayless,SG,6-3,200,"August 20, 1988",us US,1,Arizona
2,Steve Blake,PG,6-3,172,"February 26, 1980",us US,6,Maryland
21,Marcus Camby,C,6-11,220,"March 22, 1974",us US,13,UMass
33,Dante Cunningham,PF,6-8,230,"April 22, 1987",us US,R,Villanova
27,Travis Diener,PG,6-1,175,"March 1, 1982",us US,4,Marquette
5,Rudy Fernández,SG,6-6,185,"April 4, 1985",es ES,1,
6,Juwan Howard,C,6-9,240,"February 7, 1973",us US,15,Michigan
24,Andre Miller,PG,6-3,200,"March 19, 1976",us US,10,Utah
8,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,R,Saint Mary's
52,Greg Oden,C,7-0,250,"January 22, 1988",us US,1,Ohio State
25,Travis Outlaw,SF,6-9,210,"September 18, 1984",us US,6,
10,Joel Przybilla,C,7-1,255,"October 10, 1979",us US,9,Minnesota
42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",us US,4,Duke
7,Brandon Roy,SG,6-6,215,"July 23, 1984",us US,3,Washington
44,Anthony Tolliver,PF,6-8,240,"June 1, 1985",us US,1,Creighton
23,Martell Webster,SF,6-7,230,"December 4, 1986",us US,4,
